,address,postcode,bedrooms,baths,parking,property_type,property_features,freq,processed_price
https://www.domain.com.au/cp2008-11-rose-lane-melbourne-vic-3000-15806114?topspot=1,CP2008/11 Rose Lane Melbourne VIC 3000,3000,0,0,1,Carspace,[],week,60.0
https://www.domain.com.au/unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Unit 1713/200 Spencer St Melbourne VIC 3000,3000,1,1,1,Apartment / Unit / Flat,[],week,440.0
https://www.domain.com.au/3902-220-spencer-street-melbourne-vic-3000-16067459,3902/220 Spencer Street Melbourne VIC 3000,3000,2,2,1,Apartment / Unit / Flat,['Furnished'],week,650.0
https://www.domain.com.au/3405-288-spencer-street-melbourne-vic-3000-16067117,3405/288 Spencer Street Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,"['INSIDE:', 'Split System Heating', 'Air conditioning', 'Electric Hot Water', 'OUTSIDE:', 'In Ground Pool']",week,440.0
https://www.domain.com.au/1007-238-flinders-st-melbourne-vic-3000-16066003,1007/238 Flinders St Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,[],week,320.0
https://www.domain.com.au/1211-260-spencer-street-melbourne-vic-3000-16065974,1211/260 Spencer Street Melbourne VIC 3000,3000,2,2,0,Apartment / Unit / Flat,"['Balcony', 'Outdoor Entertainment Area', 'Swimming Pool - In Ground', 'Broadband Internet Available', 'Built in wardrobes', 'Dishwasher', 'Floorboards', 'Gym', 'Inside Spa', 'Intercom', 'Pay TV Access', 'Air conditioning', 'Ducted Cooling', 'Ducted Heating', 'Ensuite']",week,700.0
https://www.domain.com.au/504-350-la-trobe-street-melbourne-vic-3000-15302782,504/350 La Trobe Street Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,"['INSIDE:', 'Intercom', 'Built in wardrobes', 'Dishwasher', 'Bathtub', 'Ducted Heating', 'Air conditioning', 'Electric Hot Water', 'OUTSIDE:', 'Balcony', 'LOCATION:', 'City Views']",week,395.0
https://www.domain.com.au/1106-555-flinders-street-melbourne-vic-3000-16064379,1106/555 Flinders Street Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,"['Balcony', 'Split System Heating']",week,370.0
https://www.domain.com.au/5401-464-collins-street-melbourne-vic-3000-16063884,5401/464 Collins Street Melbourne VIC 3000,3000,3,3,2,Apartment / Unit / Flat,[],week,2500.0
https://www.domain.com.au/405-39-queen-street-melbourne-vic-3000-16063772,405/39 Queen Street Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,['Study'],week,450.0
https://www.domain.com.au/625-118-franklin-street-melbourne-vic-3000-16063139,625/118 Franklin Street Melbourne VIC 3000,3000,3,2,0,Apartment / Unit / Flat,[],week,530.0
https://www.domain.com.au/1206-118-russell-street-melbourne-vic-3000-16062720,1206/118 Russell Street Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,[],week,550.0
https://www.domain.com.au/1411-120-a-beckett-st-melbourne-vic-3000-16062428,1411/120 A Beckett St Melbourne VIC 3000,3000,2,2,0,Apartment / Unit / Flat,"['Pool (In Ground)', 'Gym', 'Furnished']",week,680.0
https://www.domain.com.au/1313-268-flinders-street-melbourne-vic-3000-16061056,1313/268 Flinders Street Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,[],week,350.0
https://www.domain.com.au/2807-81-abeckett-street-melbourne-vic-3000-16059629,2807/81 Abeckett Street Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,[],week,680.0
https://www.domain.com.au/5003-464-466-collins-street-melbourne-vic-3000-16058347,5003/464-466 Collins Street Melbourne VIC 3000,3000,1,1,1,Apartment / Unit / Flat,['Study'],week,550.0
https://www.domain.com.au/912-87-franklin-street-melbourne-vic-3000-16057832,912/87 Franklin Street Melbourne VIC 3000,3000,1,1,1,Apartment / Unit / Flat,[],week,450.0
https://www.domain.com.au/1011-225-elizabeth-street-melbourne-vic-3000-16056270,1011/225 Elizabeth Street Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,['Furnished'],week,430.0
https://www.domain.com.au/405-325-collins-street-melbourne-vic-3000-16056028,405/325 Collins Street Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,[],week,420.0
https://www.domain.com.au/3108-500-elizabeth-st-melbourne-vic-3000-16055187,3108/500 Elizabeth St Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,[],week,410.0
https://www.domain.com.au/3113-639-lonsdale-street-melbourne-vic-3000-16055028,3113/639 Lonsdale Street Melbourne VIC 3000,3000,3,2,1,Apartment / Unit / Flat,[],week,950.0
https://www.domain.com.au/55-1-albert-road-melbourne-vic-3000-16054304,55/1 Albert Road Melbourne VIC 3000,3000,2,2,2,Apartment / Unit / Flat,[],week,950.0
https://www.domain.com.au/228-la-trobe-st-melbourne-vic-3000-16054137,228 La Trobe St Melbourne VIC 3000,3000,0,1,1,Carspace,[],week,70.0
https://www.domain.com.au/unit-913-39-lonsdale-st-melbourne-vic-3000-16049068,Unit 913/39 Lonsdale St Melbourne VIC 3000,3000,2,1,0,Apartment / Unit / Flat,[],week,420.0
https://www.domain.com.au/3604-568-collins-street-melbourne-vic-3000-16041456,3604/568 Collins Street Melbourne VIC 3000,3000,2,2,1,Apartment / Unit / Flat,[],week,550.0
https://www.domain.com.au/34-546-flinders-street-melbourne-vic-3000-16041121,34/546 Flinders Street Melbourne VIC 3000,3000,1,1,0,Studio,[],week,260.0
https://www.domain.com.au/1609-31-abeckett-street-melbourne-vic-3000-16035238,1609/31 ABeckett Street Melbourne VIC 3000,3000,2,1,1,Apartment / Unit / Flat,[],week,550.0
https://www.domain.com.au/211a-441-lonsdale-street-melbourne-vic-3000-16031048,211A/441 Lonsdale Street Melbourne VIC 3000,3000,1,1,0,Apartment / Unit / Flat,[],week,300.0
