,Postcode,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0,3000,31480,32476,33314.0,34580.0,35894.1105841388,37258.16005281622,38674.04618557919,40143.7388814711,41669.282899719954,43252.800704578134
1,3002,61342,63689,67362.0,69972.0,72683.12674801817,75499.29848894522,78424.58528352,81463.2148905683,84619.57887715397,87898.23896547337
2,3003,46442,49415,50578.0,51259.0,51949.169223773184,52648.63112897682,53357.51083554555,54075.935148072866,54804.03257849395,55541.93336907393
3,3004,59385,60776,62323.0,64457.0,66664.07023089389,68946.7126882969,71307.51503858213,73749.15355233042,76274.39613822445,78886.10548082624
4,3006,53857,53668,55730.0,54860.0,54003.58155392069,53160.532640374826,52330.644547837124,51513.711822974066,50709.53221978032,49917.906649509205
5,3008,53957,57258,58446.0,61303.0,64299.657957772986,67442.80073547133,70739.58891090236,74197.53309046038,77824.5110194794,81628.78552898651
6,3010,78001,81497,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
7,3011,48422,50461,53073.0,54215.0,55381.57302206395,56573.247816991636,57790.564512995334,59034.07486051367,60304.34248229323,61601.943128851344
8,3012,51423,52982,54718.0,56471.0,58280.16084286706,60147.28175294319,62074.219596302035,64062.89072741642,66115.27289498762,68233.40720883156
9,3013,62757,65231,67249.0,69675.0,72188.51767312526,74792.71020944553,77490.84869430204,80286.32221706635,83182.64212812232,86183.44644941817
10,3015,63278,66035,69795.0,71148.0,72527.22836879433,73933.19355230287,75366.41385284395,76827.41762020404,78316.7434464113,79834.940364285
11,3016,59379,61922,64270.0,66172.0,68130.28759919092,70146.52856719562,72222.4379702578,74359.78163012136,76560.37762608357,78826.09784149997
12,3018,56661,59540,63268.0,64117.0,64977.39282101536,65849.33134451922,66732.9705035174,67628.46731007815,68535.98088323134,69455.67247724195
13,3019,41058,41912,44304.0,44784.0,45269.20043336945,45759.65764283174,46255.42858154065,46756.57081969385,47263.14255121817,47775.20260052714
14,3020,43048,44309,45673.0,45943.0,46214.59612900401,46487.79782267053,46762.614572437815,47039.05592585358,47317.13148690673,47596.850916361
15,3021,41841,42600,44109.0,43584.0,43065.24872475005,42552.671799848235,42046.195736121546,41545.74791908956,41051.25659855357,40562.650878309614
16,3022,47382,49403,50309.0,51800.0,53335.1885348546,54915.87521329123,56543.408456707264,58219.1766494551,59944.609323218,61721.17837648716
17,3023,50258,51433,53412.0,53308.0,53204.20250131057,53100.607109635734,52997.21343144727,52894.02107398321,52791.02964524633,52688.23875400268
18,3024,50910,52267,54108.0,55399.0,56720.80285724846,58074.143518309815,59459.77446534422,60878.46613450145,62331.00734429743,63818.20573421182
19,3025,52500,55426,58725.0,60161.0,61632.11444870157,63139.20199826879,64683.14229745165,66264.83650501471,67885.20781572055,69545.2019991752
20,3026,56687,55680,54280.0,53896.0,53514.71658069271,53136.130523821186,52760.22274708671,52386.97430318691,52016.36637886075,51648.380293940296
21,3027,55210,56360,57716.0,57392.0,57069.818837064246,56749.44630079685,56430.87223811998,56114.08655295207,55799.07920588788,55485.84021388033
