,Postcode,2021,2022,2023,2024,2025
0,3000,29606.0,34652.148872180405,34971.41804511273,35245.061612529295,35473.079574430085
1,3002,4962.0,5061.845112781948,4939.852221462741,4800.901055009056,4644.991613420894
2,3004,27527.0,29085.787969924797,29126.361312371813,29134.86853101129,29111.309625843227
3,3005,15942.0,19000.42857142857,20361.246753246756,21767.776962168267,23220.01919819311
4,3008,15942.0,19000.42857142857,20361.246753246756,21767.776962168267,23220.01919819311
5,3010,24644.0,29590.30375939848,30031.56582365001,30444.160557520256,30828.08796100921
6,3011,26784.0,29501.42406015036,30171.212440191368,30855.312062765584,31553.722927873016
7,3012,74475.0,79922.82857142852,81115.61818181812,82323.80079051376,83547.37639751544
8,3013,25017.0,26380.92481203005,26633.85235816812,26882.7126214746,27127.50560194949
9,3015,34071.0,35907.94586466165,36491.52330827067,37091.09088531604,37706.64859579778
10,3016,35059.0,36627.11578947365,36991.94996582362,37354.49462391152,37714.74976373736
11,3018,13652.0,14397.294736842086,14676.081613123695,14970.08338435018,15279.300050521531
12,3019,19361.0,20770.04360902254,21091.95939849622,21404.813432791445,21708.605711908203
13,3020,48113.0,51949.458646616506,52555.33697881062,53166.03194745752,53781.543552557225
14,3021,65790.0,69383.40150375936,70008.27464114828,70674.56520550384,71382.273196826
15,3022,7595.0,8305.093233082698,8373.583595352005,8439.440595560034,8502.664233706782
16,3023,79527.0,79049.79248120295,80646.20082023233,82196.21824125524,83699.84474427167
17,3024,17836.0,15913.514285714304,18019.067532467558,20263.423150762308,22646.58114059856
18,3025,34071.0,35907.94586466165,36491.52330827067,37091.09088531604,37706.64859579778
19,3026,11643.0,13990.327819548877,15064.653588516749,16196.209379179176,17384.995191536153
20,3027,11643.0,13990.327819548877,15064.653588516749,16196.209379179176,17384.995191536153
21,3028,35310.0,38528.60300751877,39458.52590567325,40430.21702873783,41443.676376712494
22,3029,72487.0,72258.12481203006,75165.04456596033,78249.69545603135,81512.07748224313
23,3030,16985.0,17186.703759398493,18111.4956937799,19091.14090760497,20125.63940087372
24,3031,9268.0,10353.085714285704,10311.85974025973,10254.55640880857,10181.175719932226
25,3032,37256.0,39870.95639097741,40039.066575529694,40160.056132425874,40233.92506166597
26,3033,16116.0,16913.83157894736,17124.13889268625,17345.729394632814,17578.60308478705
27,3036,25796.0,25889.31578947366,25540.947368421024,25166.196261404468,24765.06246842399
28,3037,70084.0,70812.13082706758,69750.15092276134,68501.80619334886,67067.09663883015
29,3038,30264.0,30262.29022556389,29821.19015721119,29351.532657731263,28853.31772712411
30,3039,16406.0,16877.371428571412,17166.82077922076,17463.657481648763,17767.881535855424
31,3040,7520.0,7939.867669172924,8094.322488038269,8253.668804422112,8417.906618324456
32,3041,10108.0,10501.652631578936,10615.903349282284,10732.819346785924,10852.400624089854
33,3042,24353.0,25641.86015037593,26045.481749829105,26470.136960979507,26915.82578382714
34,3043,33404.0,34691.891729323295,34966.03362952835,35265.34326131532,35589.82062468421
35,3044,18974.0,20336.357894736822,20728.159398496224,21132.115973728767,21548.227620434467
36,3045,129.0,152.0270676691727,148.68639781271338,144.9458052245235,140.8052899046031
37,3047,48504.0,51391.39548872179,51986.11633629527,52612.67016553239,53271.05697643316
38,3048,53724.0,56024.42857142851,57245.05194805187,58515.31394692256,59835.21456804057
39,3049,33256.0,34540.51879699244,34708.55639097739,34890.67969330435,35086.88870397331
40,3050,7446.0,8600.524812030068,8764.026384142166,8925.986365122284,9086.40475497042
41,3052,21945.0,23608.306766917274,23853.64497607653,24092.30147106895,24324.27625189453
42,3053,17198.0,20989.778947368413,21267.53943950785,21518.17419239798,21741.6832060388
43,3054,21258.0,22906.087218045097,23431.67204374571,23972.43262504084,24528.368961930493
44,3055,14499.0,15007.78195488721,15089.618591934372,15166.315105946676,15237.871496924115
45,3057,12963.0,14196.132330827058,14774.9892002734,15375.642883889552,15998.093381675517
46,3058,18974.0,20336.357894736822,20728.159398496224,21132.115973728767,21548.227620434467
47,3059,22391.0,23398.29323308269,24634.464114832525,25927.612024131464,27277.736960979517
48,3060,30448.0,32154.20902255637,32340.85823650031,32525.00128384198,32706.63816458137
49,3061,16255.0,16937.777443609,16927.051811346522,16910.19690332548,16887.212719545867
50,3063,36177.0,36810.189473684186,37951.14244702663,39127.5455377574,40339.39874587651
51,3064,10747.0,10508.5954887218,10854.94490772385,11213.36107462331,11583.843989420184
52,3065,10609.0,11225.589473684204,11205.68270676691,11170.193872031849,11119.122969479024
53,3066,9348.0,10727.604511278185,11126.883663704702,11537.96676275668,11960.853808434113
54,3067,9262.0,11210.742857142854,11868.459740259736,12554.990287972892,13270.334500282324
55,3068,25918.0,27868.557894736827,28566.22173615856,29284.782038099176,30024.238800558684
56,3070,28224.0,29657.47518796992,29872.454135338336,30084.396469434443,30293.30219025824
57,3071,19152.0,20003.461654135328,20129.312235133275,20252.34508009152,20372.56018901006
58,3074,20211.0,21062.15338345863,21050.595215310983,21043.03808731312,21039.48199946503
59,3075,20211.0,21062.15338345863,21050.595215310983,21043.03808731312,21039.48199946503
60,3076,17647.0,17681.96992481201,17458.935748462038,17220.278611548605,16965.99851407171
61,3078,9072.0,9654.01353383458,9743.141900205052,9832.051389342914,9920.74200124817
62,3079,20362.0,20931.646616541344,21029.848940533146,21123.68602335878,21213.157865018264
63,3081,15038.0,15840.018045112767,16055.409979494174,16278.428202918343,16509.07271538528
64,3082,28989.0,29166.497744360877,28773.79453178397,28359.293524324607,27922.994721982777
65,3083,43460.0,45451.22706766911,45271.42406015031,45021.06697970215,44700.15582632463
66,3084,42894.0,44180.969924812,44446.624060150345,44710.0883235757,44971.36271508807
67,3085,45657.0,47313.82857142852,47338.56623376618,47316.98147939012,47249.074308300325
68,3086,10564.0,11055.132330827042,10767.677511961694,10430.315385301166,10043.04595084546
69,3087,28194.0,28723.29022556388,28765.7615857826,28805.692454456253,28843.08283158484
70,3088,75371.0,77015.569924812,77165.7850991114,77305.49532526967,77434.70060328684
71,3089,14539.0,14634.995488721786,14658.355297334225,14673.728776486649,14681.11592617906
72,3090,9522.0,9641.784962406004,9569.412030075177,9481.732134684524,9378.745276234047
73,3091,13095.0,13231.535338345857,13153.478742310312,13060.03009896281,12951.189408303357
74,3093,16658.0,17122.431578947348,17225.793438140783,17331.833177806147,17440.550797943444
75,3094,16658.0,17122.431578947348,17225.793438140783,17331.833177806147,17440.550797943444
76,3095,68351.0,69886.23157894732,70172.58824333554,70475.80686498848,70795.88744390612
77,3096,14539.0,14634.995488721786,14658.355297334225,14673.728776486649,14681.11592617906
78,3097,12109.0,12280.694736842092,12278.569924812016,12275.182311509983,12270.531896936
79,3099,8697.0,8792.305263157888,8754.689815447702,8713.768563701737,8669.541507919988
80,3101,15819.0,17975.96691729322,18629.752699931632,19308.680329281684,20012.749805343377
81,3102,6557.0,6765.224060150369,6761.2929596719,6753.690041308798,6742.415305061063
82,3103,37743.0,38842.4390977443,38936.66015037587,39023.24362090991,39102.189509346405
83,3104,39715.0,41064.71578947363,41307.552563226185,41547.82991470765,41785.54784391802
