,Postcode,Centroid,Shopping_Center_Name,Location,Distance,Duration
3,3000,-37.817403 144.956776,COLLINS234 BOUTIQUE PLACE,"-37.815545, 144.965749",1.0 ,6 mins
18,3006,-37.82528675 144.9520744,DFO SOUTH WHARF,"-37.825196, 144.949879",0.1 ,1 min
21,3008,-37.814719 144.948039,WATERFRONT CITY,"-37.814342, 144.939035",1.0 ,3 mins
22,3011,-37.807101 144.907953,FOOTSCRAY MARKET,"-37.800522, 144.901875",1.6 ,5 mins
24,3012,-37.807135 144.861162,CENTRAL WEST SHOPPING CENTRE,"-37.793489, 144.861609",1.8 ,5 mins
25,3019,-37.784683 144.854014,BRAYBROOK SHOPPING CENTRE,"-37.782172, 144.86422",1.4 ,4 mins
26,3020,-37.777204 144.829945,CENTRO SUNSHINE MARKETPLACE,"-37.78187, 144.831506",1.0 ,4 mins
28,3023,-37.78272 144.770641,BURNSIDE HUB,"-37.75938, 144.753677",4.0 ,9 mins
30,3024,-37.75045631 144.649936,MANOR LAKES CENTRAL SHOPPING CENTRE,"-37.876281, 144.614452",21.5 ,28 mins
32,3025,-37.835562 144.839704,ALTONA GATE SHOPPING CENTRE,"-37.828989, 144.84627",1.3 ,3 mins
33,3028,-37.875066 144.777165,CENTRAL SQUARE SHOPPING CENTRE,"-37.873122, 144.776038",0.3 ,1 min
37,3029,-37.837165 144.705831,WYNDHAM VILLAGE SHOPPING CENTRE,"-37.849333, 144.704302",2.4 ,5 mins
39,3030,-37.91624 144.64209,STOCKLAND POINT COOK SHOPPING CENTRE,"-37.883369895772, 144.73538783062",15.1 ,16 mins
40,3032,-37.774486 144.897221,HIGHPOINT SHOPPING CENTRE,"-37.77369, 144.888781",1.3 ,7 mins
44,3034,-37.761235 144.86194,MILLEARA SHOPPING CENTRE,"-37.749591, 144.861442",1.8 ,4 mins
45,3037,-37.715579 144.780474,WATERVALE SHOPPING CENTRE,"-37.723117, 144.751043",4.2 ,6 mins
47,3038,-37.700454 144.766873,WATERGARDENS TOWN CENTRE,"-37.699266, 144.775813",3.6 ,9 mins
48,3039,-37.766184 144.922995,MOONEE PONDS CENTRAL,"-37.765648, 144.922669",0.2 ,1 min
50,3041,-37.72674618 144.9011039,RUNWAY PLAZA,"-37.724585, 144.893951",2.1 ,4 mins
