Postcode,Weekly Rental Price,Pred_2023,Pred_2024,Pred_2025,rate_2023,rate_2024,rate_2025
3641,180.0,458.58554,458.6008,458.61676,1.5476974487304687,1.547782219780816,1.547870890299479
3799,200.0,466.25793,466.4144,466.57526,1.3312896728515624,1.3320719909667968,1.3328762817382813
3501,195.0,451.43463,451.6497,451.87473,1.3150493915264423,1.3161522498497595,1.3173062838040865
3482,200.0,448.7042,448.66885,448.6379,1.2435209655761719,1.243344268798828,1.2431895446777343
3409,200.0,443.67606,443.68405,443.6965,1.2183802795410157,1.2184202575683594,1.2184825134277344
3762,240.0,495.29752,497.8869,500.57794,1.0637396494547526,1.0745287577311198,1.0857414245605468
3737,277.14285714285717,468.89212,469.35007,469.83444,1.043684439672031,1.0456805070009512,1.0477916549324628
3579,240.0,467.1263,467.36414,467.63467,0.9599705409336757,0.960968401715472,0.9621035275759396
3289,230.0,448.7613,448.72583,448.69153,0.9511360500169838,0.9509818699048913,0.9508327318274455
3480,240.0,463.65317,463.5701,463.50198,0.931888198852539,0.9315420786539713,0.931258265177409
