,Postcode,Income Per Person
407,3186,11547
408,3187,10293
409,3187,11547
410,3187,15047
411,3187,9185
412,3188,7438
413,3188,11547
414,3188,11359
415,3189,14549
416,3189,5592
417,3190,7438
418,3190,14549
419,3191,7438
420,3191,11359
421,3192,9258
422,3192,7438
423,3192,14549
424,3193,9258
425,3193,11359
426,3194,8596
427,3195,5618
428,3195,138
429,3195,8202
430,3195,13021
431,3196,8707
432,3196,3165
433,3196,8202
434,3197,7424
435,3197,
436,3198,
437,3199,13243
438,3199,9834
439,3199,11338
440,3200,9834
441,3201,12512
442,3201,
443,3202,5592
444,3204,15047
445,3204,
446,3204,9185
447,3205,8953
448,3206,11685
449,3206,8953
450,3206,20537
451,3207,11263
452,3207,11132
453,3207,610
454,3211,10905
455,3211,
456,3212,10905
457,3214,11874
458,3215,8404
459,3215,12521
460,3215,8438
461,3216,3854
462,3216,8573
463,3216,16948
464,3216,14219
465,3216,13537
466,3217,14219
467,3218,12521
468,3219,8404
469,3219,8051
470,3220,8404
471,3220,
472,3221,4214
473,3221,4381
474,3221,3854
475,3221,11874
476,3221,12521
477,3221,14219
478,3221,10905
479,3221,8051
480,3221,8438
481,3221,16554
482,3221,4318
483,3221,2360
484,3222,7644
485,3222,8521
486,3222,16554
487,3222,
488,3223,4318
489,3224,7644
490,3225,
491,3226,16554
492,3227,16554
493,3228,13537
494,3230,3489
495,3231,3489
496,3232,3489
497,3233,2360
498,3235,3854
499,3235,3489
500,3235,3519
501,3236,3519
502,3236,2360
503,3237,4425
504,3237,2360
505,3238,2360
506,3239,4425
507,3239,2360
508,3240,3854
509,3241,3854
510,3241,3489
511,3241,3519
512,3242,3854
513,3242,3519
514,3243,3519
515,3249,3519
516,3249,4425
517,3249,2360
518,3250,7434
519,3250,3519
520,3251,3519
521,3251,3006
522,3254,3519
523,3260,1928
524,3260,3519
525,3260,3006
526,3260,4425
527,3264,3006
528,3265,3006
529,3265,4425
530,3265,4081
531,3266,3519
532,3266,3006
533,3266,4425
534,3266,2360
535,3267,4425
536,3268,4425
537,3268,4081
538,3269,4425
539,3270,4425
540,3270,4081
541,3271,1890
542,3271,3006
543,3271,4081
544,3272,1890
545,3272,4081
546,3273,4081
547,3274,4081
548,3275,5852
549,3275,13157
550,3276,4081
551,3277,4081
552,3277,8052
553,3278,4081
554,3279,4081
555,3280,13157
556,3280,8052
557,3281,4081
558,3281,13157
559,3282,4081
560,3282,5852
561,3283,5852
562,3284,5852
563,3285,
564,3285,5852
565,3286,
566,3286,5852
567,3287,5852
568,3289,3748
569,3289,4081
570,3289,5852
571,3292,
572,3293,1890
573,3293,3748
574,3293,4081
575,3294,1890
576,3294,3748
577,3300,
578,3300,3748
579,3301,
580,3301,3748
581,3301,5852
582,3302,
583,3302,3748
584,3303,
585,3304,
586,3304,5852
587,3305,
588,3305,6027
589,3309,
590,3310,
591,3311,
592,3312,1616
593,3312,
594,3312,3748
595,3314,3748
596,3315,
597,3315,3748
598,3317,1616
599,3317,3748
600,3318,1616
601,3318,
602,3319,1616
603,3321,4381
604,3321,3854
605,3321,3519
606,3322,4381
607,3322,3519
608,3322,3006
609,3323,3006
610,3324,2520
611,3324,3006
612,3325,2268
613,3325,3006
614,3328,4381
615,3329,4381
616,3329,3519
617,3330,4381
618,3331,4214
619,3331,4381
620,3332,4381
621,3333,
622,3333,4381
623,3334,
624,3334,4381
625,3335,13769
626,3335,10019
627,3335,3367
628,3335,10902
629,3337,8257
630,3337,10019
631,3337,10446
632,3338,14613
633,3338,15141
634,3340,3572
635,3340,10905
636,3340,12832
637,3340,14613
638,3341,3572
639,3341,12832
640,3342,3572
641,3342,
642,3342,4381
643,3345,
644,3350,7989
645,3350,7595
646,3350,13598
647,3350,12722
648,3350,4249
649,3351,4723
650,3351,2583
651,3351,2268
652,3351,2520
653,3351,4381
654,3351,1890
655,3351,4081
656,3352,7989
657,3352,13598
658,3352,4249
659,3352,4723
660,3352,2583
661,3352,7380
662,3352,4294
663,3352,
664,3352,1724
665,3352,2268
666,3352,2520
667,3352,4381
668,3352,3006
669,3355,7595
670,3355,7380
671,3356,7989
672,3356,12722
673,3356,4723
674,3357,4249
675,3360,2268
676,3360,2520
677,3360,3006
678,3361,2268
679,3361,1890
680,3361,3006
681,3363,4294
682,3363,5363
683,3364,4294
684,3364,5363
685,3364,
686,3364,5017
687,3370,4294
688,3370,2476
689,3371,4294
690,3371,1724
691,3371,2476
692,3373,2268
693,3373,1890
694,3374,1890
695,3374,4657
696,3375,2268
697,3375,1890
698,3377,1724
699,3377,4213
700,3377,1890
701,3377,4657
702,3378,1890
703,3379,1890
704,3379,4081
705,3380,4657
706,3381,1890
707,3381,4657
708,3384,1724
709,3384,1871
710,3384,4657
711,3385,2227
712,3385,4657
713,3385,3555
714,3387,1871
715,3387,4657
716,3388,1871
717,3388,3555
718,3390,2227
719,3390,3555
720,3391,3555
721,3392,3555
722,3393,3917
723,3393,3555
724,3393,3412
725,3395,3917
726,3395,3555
727,3395,3412
728,3396,3555
729,3400,9682
730,3401,9682
731,3401,2227
732,3401,3917
733,3401,1616
734,3401,3555
735,3401,3748
736,3407,3748
737,3409,2227
738,3409,1616
739,3412,1616
740,3413,1616
741,3414,3917
742,3415,3917
743,3418,3917
744,3419,3917
745,3420,3917
746,3423,3917
747,3424,3917
748,3424,3555
749,3427,17563
750,3427,10019
751,3428,11549
752,3429,8257
753,3429,8242
754,3429,17563
755,3430,5883
756,3430,8242
757,3431,2656
758,3431,17563
759,3432,5883
760,3433,5883
761,3434,2656
762,3434,5883
763,3435,5928
764,3435,2454
765,3435,5883
766,3437,4410
767,3437,8257
768,3437,2102
769,3438,8257
770,3440,4410
771,3440,2102
772,3441,2102
773,3441,2656
774,3442,5928
775,3442,4410
776,3442,5883
777,3444,5363
778,3444,4634
779,3444,5017
780,3444,2258
781,3444,5928
782,3444,2454
783,3446,5363
784,3446,5017
785,3446,5928
786,3447,5363
787,3447,5017
788,3447,5928
789,3448,5017
790,3450,5656
791,3450,5017
792,3451,5363
793,3451,5656
794,3451,5017
795,3453,4634
796,3453,5017
797,3458,3572
798,3458,5363
799,3458,5928
800,3458,4410
801,3460,5363
802,3461,5363
803,3461,
804,3461,5017
805,3461,5928
806,3462,5017
807,3463,4634
808,3463,5017
809,3463,3601
810,3464,2476
811,3465,1724
812,3465,
813,3465,2476
814,3465,1871
815,3467,1724
816,3468,1724
817,3468,2268
818,3469,1724
819,3469,2268
820,3472,2476
821,3472,5017
822,3472,3601
823,3475,2476
824,3475,3601
825,3475,1871
826,3477,1724
827,3477,3601
828,3477,1871
829,3477,3412
830,3478,1724
831,3478,1871
832,3478,3412
833,3480,1871
834,3480,3555
835,3480,3412
836,3482,3412
837,3483,3412
838,3485,3555
839,3485,3412
840,3487,3555
841,3487,3412
842,3488,3555
843,3488,3412
844,3489,3555
845,3489,2058
846,3490,
847,3490,2058
848,3491,3555
849,3491,2058
850,3494,
851,3494,2058
852,3496,2612
853,3496,2058
854,3496,3188
855,3498,
856,3498,4121
857,3498,
858,3500,2612
859,3500,
860,3500,2058
861,3501,
862,3501,4121
863,3501,
864,3501,2058
865,3505,
866,3505,2612
867,3505,2058
868,3506,2058
869,3507,2058
870,3509,2058
871,3512,2058
872,3515,4634
873,3515,3601
874,3516,4634
875,3516,3601
876,3517,3601
877,3518,3601
878,3518,3412
879,3520,3601
880,3521,2454
881,3522,2454
882,3523,2258
883,3523,2426
884,3523,2454
885,3523,2094
886,3525,3601
887,3525,3412
888,3527,3601
889,3527,3412
890,3527,3642
891,3529,3412
892,3530,3412
893,3531,3412
894,3533,2058
895,3533,3412
896,3537,3601
897,3540,3642
898,3542,3412
899,3542,3642
900,3544,3412
901,3544,3593
902,3546,3593
903,3549,
904,3549,2028
905,3549,3593
906,3550,7941
907,3550,6334
908,3550,8176
909,3550,5407
910,3550,7636
911,3551,2476
912,3551,6334
913,3551,8176
914,3551,3289
915,3551,5906
916,3551,7636
917,3551,4634
918,3551,2258
919,3551,2650
920,3551,3601
921,3551,2094
922,3555,10845
923,3555,3289
924,3556,6334
925,3556,3289
926,3556,7636
927,3556,2650
928,3557,2650
929,3557,2094
930,3558,2650
931,3558,2094
932,3559,2650
933,3559,2215
934,3559,2094
935,3561,6189
936,3561,2267
937,3561,2215
938,3562,2267
939,3563,2267
940,3564,
941,3564,
942,3564,9084
943,3564,6189
944,3564,2267
945,3565,2267
946,3566,2267
947,3567,3601
948,3567,3642
949,3568,3642
950,3570,2650
951,3570,3601
952,3571,2650
953,3571,3601
954,3572,3601
955,3572,2267
956,3573,3601
957,3573,2267
958,3575,3601
959,3576,3601
960,3579,
961,3579,3601
962,3579,3642
963,3579,2016
964,3580,3642
965,3581,3642
966,3583,3593
967,3584,3593
968,3585,
969,3585,6482
970,3585,3593
971,3586,
972,3586,3593
973,3588,3593
974,3589,3593
975,3590,3593
976,3591,3593
977,3594,3593
978,3595,3593
979,3596,3593
980,3597,3593
981,3599,3593
982,3607,2426
983,3608,2426
984,3608,5784
985,3610,3678
986,3610,2426
987,3610,2510
988,3610,5784
989,3612,2426
990,3612,2094
991,3614,5784
992,3616,5784
993,3617,5784
994,3618,5784
995,3620,6189
996,3620,5784
997,3621,6189
998,3622,6189
999,3622,2215
1000,3623,2094
1001,3623,5784
1002,3624,2094
1003,3629,4196
1004,3629,5784
1005,3630,11076
1006,3630,12980
1007,3630,2510
1008,3631,3678
1009,3631,11076
1010,3631,12980
1011,3631,2510
1012,3631,5784
1013,3633,2510
1014,3634,6938
1015,3634,2510
1016,3635,6938
1017,3636,1621
1018,3636,6938
1019,3637,6938
1020,3638,6938
1021,3639,
1022,3639,
1023,3639,9084
1024,3639,6938
1025,3640,6938
1026,3641,6938
1027,3644,
1028,3644,3301
1029,3644,6938
1030,3646,3678
1031,3646,1621
1032,3646,2510
1033,3647,2510
1034,3649,1621
1035,3658,8053
1036,3658,2454
1037,3658,2109
1038,3658,11176
1039,3659,8053
1040,3659,2454
1041,3660,3386
1042,3660,2454
1043,3660,2109
1044,3662,2454
1045,3663,2426
1046,3664,2426
1047,3665,3678
1048,3665,2426
1049,3666,3692
1050,3666,3678
1051,3666,2426
1052,3666,2454
1053,3669,3678
1054,3669,
1055,3669,2223
1056,3669,2510
1057,3670,2223
1058,3672,5693
1059,3672,2223
1060,3673,2223
1061,3673,6143
1062,3675,2223
1063,3675,6143
1064,3675,1621
1065,3677,10527
1066,3677,6143
1067,3678,10527
1068,3678,6143
1069,3678,1621
1070,3682,2336
1071,3682,6143
1072,3683,1925
1073,3685,2336
1074,3685,6143
1075,3685,1925
1076,3685,1621
1077,3687,2336
1078,3688,1925
1079,3690,8661
1080,3690,15048
1081,3691,
1082,3691,5025
1083,3691,3605
1084,3691,8661
1085,3691,15048
1086,3691,3001
1087,3694,
1088,3694,15048
1089,3695,3001
1090,3697,5025
1091,3698,5025
1092,3699,5025
1093,3700,3605
1094,3700,3001
1095,3701,3605
1096,3701,4665
1097,3704,3605
1098,3705,3605
1099,3707,
1100,3707,3605
1101,3708,3605
1102,3709,
1103,3709,
1104,3709,3605
1105,3711,3692
1106,3712,3692
1107,3713,3692
1108,3713,
1109,3714,3692
1110,3714,2109
1111,3715,
1112,3717,2109
1113,3718,3692
1114,3718,2109
1115,3719,3692
1116,3719,
1117,3720,
1118,3722,
1119,3723,
1120,3723,2223
1121,3723,6143
1122,3725,2223
1123,3726,2223
1124,3727,1621
1125,3728,1621
1126,3730,1621
1127,3730,4310
1128,3732,6143
1129,3733,6143
1130,3735,6143
1131,3737,5025
1132,3737,2828
1133,3737,3001
