Postcode,Count_Station,Count_Hospital,Count_School,Count_Shopping_Center
3166,94,0.0,7.0,0.0
3167,51,0.0,3.0,0.0
3168,60,6.0,3.0,0.0
3169,108,0.0,7.0,0.0
3170,152,1.0,7.0,1.0
3171,93,1.0,6.0,1.0
3172,135,0.0,7.0,1.0
3173,93,0.0,7.0,1.0
3174,178,3.0,10.0,0.0
3175,172,5.0,15.0,1.0
3177,115,0.0,2.0,1.0
3178,155,0.0,6.0,2.0
3179,75,0.0,3.0,0.0
3180,57,0.0,2.0,0.0
3181,23,4.0,3.0,1.0
3182,39,1.0,5.0,1.0
3183,20,1.0,4.0,0.0
3184,35,1.0,4.0,0.0
3185,57,2.0,5.0,0.0
3186,124,3.0,8.0,0.0
3187,65,0.0,4.0,0.0
3188,66,1.0,3.0,0.0
3189,96,1.0,9.0,1.0
3190,53,0.0,1.0,1.0
3191,48,1.0,4.0,0.0
3192,82,2.0,5.0,1.0
3193,67,0.0,6.0,0.0
3194,105,0.0,8.0,1.0
3195,116,0.0,11.0,2.0
3196,101,0.0,5.0,0.0
3197,79,0.0,1.0,0.0
3198,111,0.0,10.0,0.0
3199,241,8.0,20.0,3.0
3201,121,0.0,5.0,1.0
3202,69,0.0,0.0,1.0
3204,105,1.0,8.0,0.0
3205,18,1.0,3.0,0.0
3206,16,0.0,4.0,0.0
3207,102,0.0,3.0,0.0
3298,16,0.0,0.0,0.0
3335,17,0.0,0.0,0.0
3336,20,0.0,3.0,0.0
3337,183,1.0,17.0,2.0
3338,69,0.0,9.0,0.0
3427,12,0.0,1.0,0.0
3428,4,0.0,0.0,0.0
3429,227,1.0,14.0,1.0
3503,15,0.0,0.0,0.0
3617,33,0.0,0.0,1.0
3711,2,0.0,1.0,0.0
3712,2,0.0,1.0,0.0
3713,1,0.0,1.0,0.0
3714,1,1.0,3.0,0.0
3750,6,0.0,4.0,0.0
3752,96,0.0,4.0,0.0
3753,9,0.0,1.0,0.0
3754,130,0.0,10.0,0.0
3755,10,0.0,0.0,0.0
3757,41,0.0,5.0,0.0
3763,8,0.0,1.0,0.0
3765,43,0.0,2.0,0.0
3766,29,0.0,1.0,0.0
3767,28,0.0,0.0,0.0
3770,20,0.0,4.0,0.0
3775,6,0.0,2.0,0.0
3777,50,1.0,7.0,1.0
3779,3,0.0,1.0,0.0
3781,24,0.0,1.0,0.0
3782,16,0.0,3.0,0.0
3783,20,0.0,1.0,0.0
3785,15,0.0,0.0,0.0
3786,12,0.0,1.0,0.0
3787,10,0.0,2.0,0.0
3788,21,0.0,1.0,0.0
3789,11,0.0,0.0,0.0
3791,17,0.0,1.0,0.0
3792,13,0.0,2.0,0.0
3793,18,0.0,4.0,0.0
3795,20,0.0,1.0,0.0
3796,60,0.0,4.0,0.0
3797,6,0.0,6.0,0.0
3799,35,0.0,2.0,0.0
3800,65,0.0,1.0,0.0
3802,136,0.0,10.0,1.0
3803,76,0.0,3.0,0.0
3804,33,0.0,6.0,0.0
3805,92,0.0,15.0,2.0
3806,223,4.0,12.0,1.0
3807,81,0.0,2.0,0.0
3809,21,0.0,9.0,0.0
3810,127,0.0,9.0,2.0
3817,27,0.0,0.0,0.0
3910,85,0.0,5.0,0.0
3911,44,0.0,2.0,0.0
3912,37,0.0,5.0,0.0
3913,15,0.0,3.0,0.0
3915,30,1.0,4.0,0.0
3916,7,0.0,0.0,0.0
3920,16,0.0,0.0,0.0
3927,25,0.0,2.0,1.0
3930,49,1.0,7.0,2.0
3931,105,2.0,7.0,2.0
3933,1,0.0,1.0,0.0
3934,74,0.0,3.0,1.0
3936,60,0.0,3.0,1.0
3938,90,0.0,0.0,0.0
3939,12,1.0,4.0,0.0
3940,108,1.0,1.0,1.0
3941,104,0.0,3.0,0.0
3943,71,0.0,2.0,0.0
3975,46,0.0,3.0,1.0
3976,160,1.0,6.0,1.0
3977,201,1.0,22.0,2.0
3978,73,0.0,10.0,0.0
7260,2,0.0,0.0,0.0
