Postcode,Offence Count
3670,39
3672,1336
3673,67
3675,66
3677,2710
3678,212
3682,24
3683,69
3685,120
3687,53
3688,93
3690,3247
3691,250
3695,17
3697,6
3698,6
3699,33
3700,63
3701,29
3705,3
3707,89
3708,5
3709,7
3711,28
3712,38
3713,85
3714,220
3715,21
3717,231
3718,5
3719,18
3720,48
3722,336
3723,175
3725,19
3726,7
3727,15
3728,31
3730,482
3732,34
3733,44
3735,11
3737,320
3738,8
3739,1
3740,37
3741,92
3744,16
3746,19
3747,191
3749,23
3750,972
3751,11
3752,1102
3753,275
3754,2494
3755,23
3756,1570
3757,500
3758,253
3759,14
3760,4
3761,48
3762,23
3763,71
3764,800
3765,367
3766,59
3767,108
3770,209
3775,249
3777,504
3778,37
3779,58
3781,196
3782,260
3783,110
3785,23
3786,45
3787,27
3788,97
3789,8
3791,15
3792,9
3793,151
3795,40
3796,363
3797,174
3799,346
3802,1228
3803,936
3804,371
3805,3458
3806,2361
3807,294
3808,45
3809,955
3810,4324
3812,246
3813,60
3814,65
3815,112
3816,375
3818,1497
3820,1798
3821,150
3822,71
3823,234
3824,424
3825,3294
3831,79
3832,5
3833,69
3835,27
3840,4397
3842,588
3844,4323
3847,246
3850,2532
3851,514
3854,66
3856,30
3857,17
3858,273
3859,69
3860,494
3862,134
3864,17
3865,17
3869,107
3870,78
3871,120
3873,35
3874,54
3875,2467
3878,37
3880,262
3882,59
3885,114
3886,72
3887,66
3888,393
3889,44
3890,40
3891,11
3892,56
3893,1
3895,6
3896,25
3898,37
3900,8
3902,24
3903,39
3904,83
3909,1208
3910,1025
3911,336
3912,640
3913,136
3915,1435
3916,11
3918,114
3919,277
3920,15
3922,787
3923,36
3925,288
3926,118
3927,66
3928,15
3929,28
3930,394
3931,1598
3933,73
3934,459
3936,783
3937,32
3938,138
3939,1726
3940,382
3941,916
3942,119
3943,147
3944,174
3945,68
3946,94
3950,439
3951,49
3953,529
3954,18
3956,143
3957,8
3958,14
3959,91
3960,134
3962,98
3964,4
3965,17
3966,20
3967,16
3971,341
3975,833
3976,1652
3977,7328
3978,1886
3979,42
3980,194
3981,238
3984,696
3987,79
3988,34
3990,1
3991,80
3992,115
3995,1092
3996,267
