Postcode,Offence Count
3000,16212
3002,1300
3003,1306
3004,4302
3006,3908
3008,3478
3011,2831
3012,2435
3013,820
3015,784
3016,1093
3018,874
3019,1685
3020,5767
3021,6125
3022,315
3023,4605
3024,1903
3025,914
3026,1448
3027,458
3028,1709
3029,6896
3030,7617
3031,1602
3032,2816
3033,687
3034,361
3036,329
3037,2281
3038,1837
3039,1258
3040,1645
3041,817
3042,1230
3043,1945
3044,1491
3045,323
3046,2785
3047,4145
3048,1980
3049,604
3051,1688
3052,1192
3053,1877
3054,638
3055,1080
3056,2562
3057,759
3058,3138
3059,932
3060,944
3061,1216
3062,197
3063,66
3064,6680
3065,2341
3066,2180
3067,1464
3068,1351
3070,1497
3071,1375
3072,4641
3073,5594
3074,2426
3075,1565
3076,3574
3078,720
3079,833
3081,2145
3082,2035
3083,2623
3084,2049
3085,611
3087,568
3088,1416
3089,508
3090,79
3091,58
3093,151
3094,260
3095,1171
3096,26
3097,49
3099,203
3101,1560
3102,237
3103,506
3104,483
3105,566
3106,703
3107,465
3108,1451
3109,892
3111,309
3113,171
3114,75
3115,70
3116,670
3121,5194
3122,1243
3123,780
3124,1011
3125,898
3126,181
3127,681
3128,2191
3129,533
3130,1328
3131,1264
3132,743
3133,851
3134,3200
3135,989
3136,2805
3137,781
3138,1196
3139,579
3140,1791
3141,3269
3142,911
3143,483
3144,742
3145,2394
3146,942
3147,1461
3148,1053
3149,1447
3150,3063
3151,634
3152,2246
3153,2061
3154,301
3155,2153
3156,2387
3158,220
3159,95
3160,569
3161,685
3162,856
3163,1779
3165,1030
3166,2113
3167,587
3168,2094
3169,1356
3170,1453
3171,2418
3172,1046
3173,1564
3174,3125
3175,10474
3177,1185
3178,1711
3179,498
3180,558
3181,3785
3182,5058
3183,1413
3184,897
3185,904
3186,1097
3187,689
3188,1204
3189,1124
3190,820
3191,647
3192,1682
3193,558
3194,833
3195,2262
3196,1537
3197,1094
3198,2056
3199,7199
3200,942
3201,1907
3202,192
3204,1569
3205,2623
3206,811
3207,2203
3211,526
3212,1102
3213,210
3214,5048
3215,1988
3216,2932
3217,532
3218,1118
3219,1999
3220,3959
3221,11
3222,569
3223,458
3224,583
3225,114
3226,485
3227,154
3228,803
3230,190
3231,43
3232,104
3233,162
3234,8
3235,8
3236,9
3237,11
3238,10
3239,22
3240,78
3241,184
3242,22
3243,6
3249,141
3250,1087
3251,8
3254,15
3260,355
3264,119
3265,101
3266,128
3267,1
3268,125
3269,44
3270,15
3271,10
3272,92
3273,8
3274,25
3275,6
3276,4
3277,76
3278,13
3279,6
3280,3242
3281,36
3282,107
3283,44
3284,160
3285,35
3286,15
3287,4
3289,33
3292,11
3293,7
3294,20
3300,860
3301,30
3302,18
3303,10
3304,134
3305,1387
3309,4
3310,33
3311,65
3312,51
3314,14
3315,72
3317,5
3318,37
3319,20
3321,32
3322,17
3323,11
3324,32
3325,17
3328,31
3329,6
3330,30
3331,138
3332,20
3333,18
3334,38
3335,811
3336,713
3337,4649
3338,3002
3340,2024
3341,90
3342,255
3345,56
3350,5900
3351,343
3352,733
3355,1503
3356,1565
3357,130
3358,106
3360,59
3361,12
3363,190
3364,54
3370,62
3371,48
3373,200
3374,57
3375,14
3377,1715
3378,4
3379,17
3380,777
3381,95
3384,27
3385,58
3387,19
3388,33
3390,49
3391,15
3392,56
3393,186
3395,12
3396,29
3400,2175
3401,240
3407,16
3409,27
3412,10
3413,6
3414,318
3415,4
3418,233
3419,42
3420,11
3423,49
3424,17
3427,339
3428,92
3429,2986
3430,22
3431,150
3432,11
3433,7
3434,244
3435,172
3437,669
3438,117
3440,114
3441,78
3442,344
3444,571
3446,55
3447,9
3448,31
3450,547
3451,145
3453,44
3458,71
3460,133
3461,128
3462,27
3463,78
3464,66
3465,907
3467,82
3468,9
3469,22
3472,109
3475,19
3477,58
3478,203
3480,94
3482,3
3483,35
3485,8
3487,2
3488,5
3489,1
3490,65
3491,22
3494,27
3496,328
3498,393
3500,4732
3501,66
3505,287
3506,16
3507,5
3509,30
3512,16
3515,104
3516,87
3517,158
3518,139
3520,12
3521,42
3522,20
3523,320
3525,194
3527,29
3529,4
3530,3
3531,19
3533,28
3537,25
3540,44
3542,9
3544,10
3546,13
3549,466
3550,5751
3551,1313
3555,2122
3556,1165
3557,63
3558,133
3559,29
3561,256
3562,16
3563,91
3564,1795
3565,2
3566,13
3567,27
3568,239
3570,43
3571,8
3572,2
3573,22
3575,67
3576,1
3579,609
3580,47
3581,2
3583,33
3584,87
3585,1736
3586,49
3588,13
3589,28
3590,44
3591,4
3594,23
3595,72
3596,2
3597,14
3599,12
3607,8
3608,239
3610,112
3612,129
3614,22
3616,213
3617,7
3618,57
3620,671
3621,139
3622,25
3623,66
3624,50
3629,1311
3630,6899
3631,900
3633,36
3634,93
3635,52
3636,512
3637,32
3638,93
3639,64
3640,36
3641,69
3644,1013
3646,17
3649,16
3658,571
3659,162
3660,1402
3662,20
3663,17
3664,63
3665,26
3666,206
3669,52
