,Postcode,Baths,Population,Count_School,Count_Station,Bedrooms,Pred_2023,Pred_2024,Pred_2025,Weekly Rental Price,rate_2023,rate_2024,rate_2025
47,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
48,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
49,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
50,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,530.0,2.435976884949882,0.0,0.0
51,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,530.0,2.435976884949882,0.0,0.0
52,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,530.0,2.435976884949882,0.0,0.0
53,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,530.0,2.435976884949882,0.0,0.0
54,3000,2,34652.148872180405,4.0,45.0,3,1821.0677,1821.0677,1821.0677,530.0,2.435976884949882,0.0,0.0
55,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
56,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
57,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
58,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
59,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
60,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
61,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
62,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
63,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
64,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
65,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,350.0,4.2030507114955356,0.0,0.0
66,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,350.0,4.2030507114955356,0.0,0.0
67,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,350.0,4.2030507114955356,0.0,0.0
68,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,350.0,4.2030507114955356,0.0,0.0
69,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,350.0,4.2030507114955356,0.0,0.0
70,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
71,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
72,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
73,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
74,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,680.0,1.678040807387408,0.0,0.0
75,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
76,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
77,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
78,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
79,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
80,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
81,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
82,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
83,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
84,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,450.0,3.0468172200520836,0.0,0.0
85,3000,1,34652.148872180405,4.0,45.0,1,1821.0677,1821.0677,1821.0677,430.0,3.235041276798692,0.0,0.0
