,Postcode,Baths,Bedrooms,Parking,Weekly Rental Price,Income
0,3000,1,1,1,440.0,38674.04618557919
1,3000,2,2,1,650.0,38674.04618557919
2,3000,1,1,0,440.0,38674.04618557919
3,3000,1,1,0,320.0,38674.04618557919
4,3000,2,2,0,700.0,38674.04618557919
5,3000,1,2,0,395.0,38674.04618557919
6,3000,1,1,0,370.0,38674.04618557919
7,3000,3,3,2,2500.0,38674.04618557919
8,3000,1,1,0,450.0,38674.04618557919
9,3000,2,3,0,530.0,38674.04618557919
10,3000,1,2,0,550.0,38674.04618557919
11,3000,2,2,0,680.0,38674.04618557919
12,3000,1,2,0,350.0,38674.04618557919
13,3000,1,2,0,680.0,38674.04618557919
14,3000,1,1,1,550.0,38674.04618557919
15,3000,1,1,1,450.0,38674.04618557919
16,3000,1,1,0,430.0,38674.04618557919
17,3000,1,2,0,420.0,38674.04618557919
18,3000,1,1,0,410.0,38674.04618557919
19,3000,2,3,1,950.0,38674.04618557919
20,3000,2,2,2,950.0,38674.04618557919
21,3000,2,2,1,550.0,38674.04618557919
22,3000,1,1,0,260.0,38674.04618557919
23,3000,1,2,1,550.0,38674.04618557919
24,3000,1,1,0,300.0,38674.04618557919
25,3000,1,0,0,395.0,38674.04618557919
26,3000,1,2,0,370.0,38674.04618557919
27,3000,1,0,0,330.0,38674.04618557919
28,3000,1,2,1,600.0,38674.04618557919
29,3000,2,2,1,500.0,38674.04618557919
30,3000,1,2,0,595.0,38674.04618557919
31,3000,1,1,0,400.0,38674.04618557919
32,3000,1,1,0,250.0,38674.04618557919
33,3000,1,1,0,200.0,38674.04618557919
34,3000,2,2,1,695.0,38674.04618557919
35,3000,2,2,1,1100.0,38674.04618557919
36,3000,1,2,0,500.0,38674.04618557919
37,3000,2,2,1,680.0,38674.04618557919
38,3000,2,2,1,610.0,38674.04618557919
39,3000,2,3,1,695.0,38674.04618557919
40,3000,2,2,1,800.0,38674.04618557919
41,3000,1,1,1,380.0,38674.04618557919
42,3000,2,2,1,580.0,38674.04618557919
43,3000,1,1,0,550.0,38674.04618557919
44,3000,1,1,0,350.0,38674.04618557919
45,3000,1,2,0,470.0,38674.04618557919
46,3000,3,3,3,2800.0,38674.04618557919
47,3000,2,3,4,4500.0,38674.04618557919
48,3000,0,0,0,389.0,38674.04618557919
49,3000,1,1,0,315.0,38674.04618557919
50,3000,2,2,0,600.0,38674.04618557919
51,3000,1,2,0,690.0,38674.04618557919
52,3000,1,2,0,380.0,38674.04618557919
53,3000,1,1,0,380.0,38674.04618557919
54,3000,2,2,0,650.0,38674.04618557919
55,3000,1,1,0,500.0,38674.04618557919
56,3000,1,2,0,590.0,38674.04618557919
57,3000,1,1,0,480.0,38674.04618557919
58,3000,2,2,0,750.0,38674.04618557919
59,3000,1,2,0,620.0,38674.04618557919
60,3000,2,2,0,500.0,38674.04618557919
61,3000,1,1,1,600.0,38674.04618557919
62,3000,1,2,0,530.0,38674.04618557919
63,3000,1,0,0,295.0,38674.04618557919
64,3000,1,1,0,525.0,38674.04618557919
65,3000,1,2,0,515.0,38674.04618557919
66,3000,1,1,0,520.0,38674.04618557919
67,3000,1,1,0,580.0,38674.04618557919
68,3000,1,2,0,460.0,38674.04618557919
69,3000,1,1,0,420.0,38674.04618557919
70,3000,1,2,0,600.0,38674.04618557919
71,3000,1,2,0,400.0,38674.04618557919
72,3000,1,2,0,440.0,38674.04618557919
73,3000,2,2,0,720.0,38674.04618557919
74,3000,2,2,0,670.0,38674.04618557919
75,3000,1,2,1,700.0,38674.04618557919
76,3000,1,1,1,55.0,38674.04618557919
77,3000,1,2,0,480.0,38674.04618557919
78,3000,1,1,0,220.0,38674.04618557919
79,3000,1,2,1,575.0,38674.04618557919
80,3000,2,2,1,700.0,38674.04618557919
81,3000,1,1,1,430.0,38674.04618557919
82,3000,1,2,0,430.0,38674.04618557919
83,3000,1,2,0,450.0,38674.04618557919
84,3000,1,1,0,280.0,38674.04618557919
85,3000,1,2,0,660.0,38674.04618557919
86,3000,2,2,1,750.0,38674.04618557919
87,3000,1,0,0,280.0,38674.04618557919
88,3000,1,1,0,460.0,38674.04618557919
89,3000,2,3,2,2050.0,38674.04618557919
90,3000,1,2,0,520.0,38674.04618557919
91,3000,2,2,0,530.0,38674.04618557919
92,3000,2,4,0,650.0,38674.04618557919
93,3000,1,2,0,525.0,38674.04618557919
94,3000,1,1,1,60.0,38674.04618557919
