,Postcode,Centroid,School_Name,Address,Location,Distance,Duration
1378,3361,-37.752643 143.373089,Skipton Primary School,7 Montgomery Street,-37.68686 143.36816,15.0 km,13 mins
1379,3363,-37.420588 143.88637,Creswick Primary School,67 Napier Street,-37.42411 143.89156,1.1 km,2 mins
1382,3364,-37.334655 143.907186,Newlyn Primary School,2701 Midland Highway,-37.41202 143.98443,15.5 km,14 mins
1383,3370,-37.252718 143.815613,Clunes Primary School,Canterbury Street,-37.29075 143.79211,4.9 km,6 mins
1384,3371,-37.196938 143.635622,Talbot Primary School,2 Rowe Street,-37.16865 143.7036,7.0 km,7 mins
1386,3373,-37.457785 143.343429,Trawalla Primary School,11 Trawalla Road,-37.43773 143.46986,13.1 km,12 mins
1388,3374,-37.231524 142.956916,Great Western Primary School,Stephenson Street,-37.14851 142.85173,26.3 km,24 mins
1389,3375,-37.424288 143.143621,Buangor Primary School,26 School Road,-37.36404 143.17502,9.7 km,12 mins
1390,3377,-37.231524 142.956916,Ararat Primary School,70 - 78 Moore Street,-37.28594 142.93731,10.0 km,12 mins
1398,3379,-37.7667 142.6833,Willaura Primary School,14 Warranooke Street,-37.54469 142.73946,28.3 km,22 mins
1400,3380,-37.0666 142.771159,Stawell West Primary School,80-88 Cooper Street,-37.06576 142.77129,0.3 km,1 min
1405,3381,-36.988914 142.7154,Halls Gap Primary School,10-14 School Road,-37.13748 142.51743,31.0 km,26 mins
1407,3384,-36.93829078 143.2173081,Navarre Primary School,High Street,-36.90074 143.11134,12.2 km,15 mins
1409,3387,-36.71744157 142.9814278,Marnoo Primary School,80 Newall Street,-36.67685 142.87035,12.8 km,13 mins
1410,3388,-36.597861 142.693946,Rupanyup Primary School,22 Dyer Street,-36.63222 142.62861,9.9 km,10 mins
1412,3390,-36.583744 142.487468,Our Lady Help of Christians School,15 Munro Street,-36.62268 142.47365,6.7 km,7 mins
1413,3392,-36.34199038 142.6792298,Minyip Primary School,21 Main Street,-36.46271 142.5841,20.4 km,16 mins
1415,3393,-36.257725 142.387341,Warracknabeal Special Developmental School,5 Werrigar Street,-36.25761 142.39075,0.3 km,1 min
1418,3395,-35.918885 142.441984,Beulah Primary School,Henty Highway,-35.94494 142.41826,9.6 km,10 mins
1420,3396,-35.7157 142.329159,St Joseph's School,33 Lascelles Street,-35.72393 142.36219,3.5 km,4 mins
1425,3400,-36.725245 142.203729,St Brigid's College,97 Robinson Street,-36.71731 142.20795,1.4 km,3 mins
1427,3401,-36.881534 141.940832,Laharum Primary School,1574 Northern Grampians Road,-36.94535 142.32331,46.6 km,34 mins
1428,3402,-37.164183 142.666302,Horsham College,310 Baillie Street,-36.71166 142.1841,83.4 km,1 hour 0 mins
1429,3407,-37.298061 141.948371,Balmoral K-12 Community College,1831 Harrow Balmoral Road,-37.24056 141.82737,16.6 km,15 mins
1430,3409,-36.72484337 141.8632367,Natimuk Primary School,38 Old Noradjuha Road,-36.74124 141.9505,12.3 km,11 mins
1431,3412,-36.658804 141.366071,Goroke P-12 College,55 Natimuk-Frances Road,-36.71579 141.48354,18.1 km,21 mins
1434,3414,-36.388628 142.093883,St Peter's Lutheran School,6-26 Horsham Road,-36.45706 142.03758,10.4 km,10 mins
1437,3418,-36.074144 141.538074,Nhill Lutheran School,2 Mackay St,-36.32773 141.66215,42.9 km,33 mins
1438,3419,-36.226015 141.101929,Kaniva College,2 Farmers Street,-36.38272 141.24485,31.1 km,27 mins
1439,3423,-36.13191 141.940764,Jeparit Primary School,Sands Avenue,-36.14134 141.98405,5.3 km,6 mins
1440,3424,-35.727789 141.930872,Rainbow P-12 College,17 Albert Street,-35.89447 141.9967,23.6 km,28 mins
1441,3427,-37.643461 144.707974,Diggers Rest Primary School,Plumpton Road,-37.62263 144.70923,2.7 km,4 mins
1444,3429,-37.56762 144.728973,Kismet Park Primary School,Mcewen Drive,-37.56525 144.72867,0.3 km,1 min
1456,3431,-37.474551 144.69202,Riddells Creek Primary School,69-77 Main Road,-37.46122 144.67978,3.5 km,5 mins
1457,3432,-37.448455 144.792581,Bolinda Primary School,1 Mullalys Road,-37.43373 144.7454,5.9 km,7 mins
1458,3434,-37.35388 144.750796,Romsey Primary School,2-56 Station Street,-37.35418 144.74538,1.6 km,4 mins
1460,3435,-37.179453 144.743358,St Mary's School,2 Raglan Street,-37.27876 144.73173,12.0 km,9 mins
1461,3437,-37.501619 144.513018,Gisborne Primary School,41 Prince Street,-37.49086 144.58844,10.1 km,11 mins
1466,3438,-37.457528 144.602032,Holy Cross Primary School,158 Hamilton Road,-37.45589 144.59778,0.4 km,1 min
1468,3440,-37.413377 144.546151,Macedon Primary School,67 Smith Street,-37.41869 144.56268,2.0 km,2 mins
1470,3441,-37.399224 144.603892,Mount Macedon Primary School,641 Mount Macedon Road,-37.40479 144.58413,5.8 km,14 mins
1471,3442,-37.330661 144.548846,Woodend Primary School,146 High Street,-37.35342 144.53294,14.0 km,11 mins
1476,3444,-37.171788 144.544716,Kyneton Primary School,49-79 Edgecombe Street,-37.24889 144.46269,14.4 km,14 mins
1483,3446,-37.184831 144.374338,Malmsbury Primary School,28 Cameron Street,-37.18732 144.38694,1.6 km,3 mins
1484,3447,-37.157744 144.322487,Taradale Primary School,98 High Street,-37.14131 144.35106,4.3 km,7 mins
1485,3448,-37.075364 144.387629,Elphinstone Primary School,26 Wright Street,-37.105 144.3329,9.8 km,10 mins
1490,3450,-37.061635 144.214903,St Mary's School,84 Templeton Street,-37.06396 144.22096,0.7 km,3 mins
1492,3451,-37.125338 144.21419,Chewton Primary School,1 Hunter Street,-37.08233 144.26116,12.4 km,13 mins
1495,3453,-36.950365 144.281488,Harcourt Valley Primary School,3 Wilkinson Street,-37.00297 144.25723,8.2 km,8 mins
1496,3458,-37.424116 144.33471,Trentham District Primary School,8 Bridge Street,-37.38797 144.3281,5.3 km,9 mins
1497,3460,-37.351704 144.144216,Daylesford Primary School,102-128 Vincent Street,-37.3451 144.14156,1.1 km,3 mins
1500,3461,-37.287848 144.170995,Yandoit Primary School,74 High Street,-37.214 144.08844,13.7 km,13 mins
1504,3462,-37.083561 144.053611,Newstead Primary School,28 Lyons Street,-37.10592 144.06719,3.4 km,3 mins
1505,3463,-36.957983 144.05651,Maldon Primary School,109 High Street,-36.99504 144.06581,5.2 km,5 mins
1506,3464,-37.019811 143.841414,Carisbrook Primary School,2  Camp Street,-37.05206 143.81266,5.3 km,7 mins
1509,3465,-37.021478 143.611335,Maryborough Education Centre,102 - 192 Balaclava Road,-37.04216 143.72287,12.1 km,11 mins
1512,3467,-37.105993 143.412675,Avoca Primary School,118 Barnett Street,-37.0845 143.47565,7.3 km,10 mins
1513,3468,-37.261481 143.379493,Amphitheatre Primary School,16 School Road,-37.18413 143.39924,11.5 km,11 mins
1514,3472,-36.864952 143.657638,Dunolly Primary School,8 Elgin Street,-36.85155 143.73358,7.5 km,6 mins
1515,3475,-36.70633 143.51213,Bealiba Primary School,9 Grant Street,-36.78994 143.5519,11.0 km,12 mins
1519,3478,-36.688551 143.230699,St Patrick's School,Wattle Street,-36.61708 143.24686,10.9 km,18 mins
1521,3480,-36.31227 142.968057,Donald High School,2-16 Camp Street,-36.37078 142.97396,8.7 km,13 mins
1523,3483,-35.901765 142.890804,Birchip P-12 School,43-47 Campbell Street,-35.98438 142.90994,10.5 km,9 mins
1524,3489,-35.332477 142.425302,Tempy Primary School,13 Harrison Street,-35.34395 142.42708,2.5 km,3 mins
1525,3490,-35.62103426 141.4849679,Ouyen P-12 College,1-35 Fuller Street,-35.06457 142.32261,170 km,2 hours 12 mins
1526,3494,-34.486406 142.348315,Nangiloc Colignan and District Primary School,2612 Kulkyne Way,-34.47385 142.35779,3.0 km,5 mins
