,Postcode,Centroid,School_Name,Address,Location,Distance,Duration
1831,3728,-36.148922 145.959015,Tungamah Primary School,15 -17 Tower Street,-36.16131 145.87947,9.3 km,7 mins
1832,3730,-36.051782 145.974755,Yarrawonga College P-12,2-24 Pinniger Street,-36.02144 146.00667,5.7 km,7 mins
1835,3732,-36.686814 146.313751,Moyhu Primary School,2799 Wangaratta-Whitfield Road,-36.59317 146.38309,24.2 km,24 mins
1837,3733,-36.812087 146.316338,Whitfield District Primary School,6182 Mansfield Road,-36.76558 146.41206,24.8 km,27 mins
1838,3735,-36.515712 146.603574,Whorouly Primary School,18 Church Street,-36.50544 146.58665,3.1 km,4 mins
1840,3737,-36.554037 146.82759,St Mary's School,43 O'Donnell Avenue,-36.55357 146.72693,14.7 km,17 mins
1842,3740,-36.731686 146.834561,Porepunkah Primary School,2 Martley Street,-36.69949 146.91102,28.5 km,37 mins
1844,3741,-36.962316 147.063163,Harrietville Primary School,165 Great Alpine Road,-36.88771 147.06494,14.5 km,20 mins
1845,3744,-36.788479 146.95979,Wandiligong Primary School,119 School Road,-36.76886 146.98292,5.7 km,13 mins
1846,3747,-36.361056 146.725705,Wooragee Primary School,1011 Beechworth-Wodonga Road,-36.29048 146.73088,13.3 km,13 mins
1851,3749,-36.42031113 146.8638108,Yackandandah Primary School,39 High Street,-36.3121 146.83646,14.6 km,11 mins
1854,3750,-37.596078 145.005578,Edgars Creek Secondary College,2 Steen Avenue,-37.60949 145.00507,1.7 km,4 mins
1858,3752,-37.619102 145.074353,Marymede Catholic College,60 Williamsons Road,-37.64332 145.09103,7.0 km,12 mins
1860,3753,-37.476474 144.959512,Beveridge Primary School,104 Arrowsmith Street,-37.47206 144.97776,2.3 km,6 mins
1870,3754,-37.593554 145.112985,St Paul the Apostle Catholic Primary School,80 Bassetts Road,-37.59693 145.11522,1.5 km,4 mins
1873,3756,-37.41233 144.956641,Upper Plenty Primary School,10 Clarkes Road,-37.42371 145.05787,11.1 km,12 mins
1877,3757,-37.469784 145.182221,Kinglake West Primary School,1041-1061 Whittlesea-Kinglake Rd,-37.4813 145.2596,15.4 km,17 mins
1881,3758,-37.354647 145.052552,Wandong Primary School,43-51 Rail Street,-37.3603 145.02786,4.4 km,7 mins
1882,3759,-37.650385 145.247277,Panton Hill Primary School,585 Kangaroo Grd-St Andrews Rd,-37.64161 145.23956,1.5 km,3 mins
1883,3761,-37.585625 145.292381,St Andrews Primary School,Caledonia Street,-37.60232 145.26983,3.8 km,6 mins
1884,3763,-37.521863 145.353378,Kinglake Primary School,20 Mcmahons Rd,-37.52157 145.35664,0.4 km,1 min
1886,3764,-37.263736 144.900644,Willowmavin Primary School,690 Willowmavin Road,-37.25942 144.88823,1.2 km,1 min
1890,3765,-37.814771 145.346621,Montrose Primary School,17-21 Leith Road,-37.8081 145.34369,1.3 km,3 mins
1892,3767,-37.839387 145.347505,Mount Dandenong Primary School,13 - 15 Farndons Road,-37.83074 145.36217,2.4 km,6 mins
1894,3770,-37.708784 145.416004,Gruyere Primary School,99 Killara Road,-37.73409 145.45039,13.0 km,12 mins
1897,3775,-37.642852 145.365993,Yarra Glen Primary School,35 Symonds Street,-37.6497 145.37241,1.2 km,2 mins
1903,3777,-37.606088 145.513804,Healesville High School,10 Camerons Road,-37.64359 145.53081,11.0 km,17 mins
1906,3779,-37.539267 145.784751,Marysville Primary School,15 Falls Road,-37.51198 145.74894,20.2 km,30 mins
1907,3781,-37.938471 145.487862,Cockatoo Primary School,19-33 Belgrave-Gembrook Road,-37.93937 145.49638,1.4 km,2 mins
1908,3782,-37.938068 145.433024,Emerald Primary School,10 Heroes Avenue,-37.93338 145.44243,1.7 km,4 mins
1912,3783,-37.947379 145.596576,Gembrook Primary School,50 Main Street,-37.95164 145.54532,5.7 km,10 mins
1913,3786,-37.878188 145.332431,Ferny Creek Primary School,School Road,-37.88421 145.33473,0.9 km,2 mins
1915,3787,-37.866786 145.350888,Sherbrooke Community School,311 Mt Dandenong Tourist Road,-37.86824 145.34944,0.3 km,1 min
1916,3788,-37.848036 145.377128,Olinda Primary School,45 Charlemont Lane,-37.8547 145.36619,2.4 km,6 mins
1917,3791,-37.896917 145.379622,Kallista Primary School,72 Monbulk Road,-37.88509 145.37,1.4 km,2 mins
1918,3792,-37.89424 145.405388,The Patch Primary School,53 Kallista-Emerald Road,-37.89242 145.39284,1.8 km,3 mins
1919,3793,-37.874533 145.429715,Monbulk Primary School,1 Main Road,-37.87685 145.41026,2.1 km,4 mins
1923,3795,-37.836663 145.430311,Silvan Primary School,269 Monbulk Road,-37.8246 145.42132,1.8 km,3 mins
1924,3796,-37.786977 145.384922,Mount Evelyn Primary School,33 Monbulk Road,-37.79093 145.38882,0.6 km,1 min
1930,3797,-37.867809 145.786343,Gladysdale Primary School,550 Little Yarra Road,-37.82025 145.65099,14.1 km,13 mins
1934,3799,-37.727566 145.818512,Warburton Primary School,16 Horners Road,-37.7558 145.7017,14.8 km,17 mins
1937,3800,-37.910545 145.134935,John Monash Science School,39 Innovation Walk,-37.91422 145.12869,2.0 km,7 mins
1947,3802,-37.971763 145.255599,St Paul Apostle North School,76 Mossgiel Park Drive,-37.96753 145.26266,1.4 km,3 mins
1948,3803,-38.009435 145.265524,Hallam Primary School,24 Harmer Road,-38.00176 145.25824,1.6 km,3 mins
1950,3804,-37.980059 145.325994,Narre Warren North Primary School,15-31 A'beckett Road,-37.97859 145.31692,1.0 km,2 mins
1967,3805,-38.037026 145.304198,Berry Street Victoria Inc,17 Cranbourne Road,-38.03025 145.30575,0.8 km,1 min
1979,3806,-38.025018 145.349488,St Michael's School,16 Scanlan Street,-38.03382 145.35357,1.6 km,4 mins
1982,3807,-38.048316 145.371635,St Francis Xavier College,4 Beaconsfield Avenue,-38.052 145.37311,0.7 km,2 mins
1983,3808,-38.002518 145.42327,Beaconsfield Upper Primary School,40 Stoney Creek Road,-37.9954 145.41476,3.1 km,5 mins
1986,3809,-38.069094 145.406887,Officer Specialist School,3 Parker Street,-38.07079 145.41131,1.8 km,3 mins
2000,3810,-38.04658 145.472514,Beaconhills College,30-34 Toomuc Valley Road,-38.0619 145.46732,1.9 km,4 mins
2003,3812,-38.070135 145.565304,St James School,60 Nar Nar Goon Road,-38.07303 145.57319,1.6 km,2 mins
2004,3813,-38.064252 145.634339,St Thomas Aquinas College,1 Tynong Road,-38.08322 145.62369,6.6 km,10 mins
2005,3814,-38.10718 145.669112,Garfield Primary School,84 Railway Avenue,-38.09056 145.67415,3.5 km,5 mins
2007,3815,-38.01378 145.726311,Columba Catholic School,28-36 Hope Street,-38.09326 145.71586,10.0 km,11 mins
2009,3816,-38.043542 145.787991,Longwarry Primary School,5 McCrae Street,-38.1141 145.76914,11.8 km,12 mins
2014,3818,-38.096289 145.867337,Drouin South Primary School,3061 Westernport Road,-38.17057 145.82682,11.5 km,13 mins
2027,3820,-38.207476 145.922212,St Angela of the Cross Primary School,181 Mills Road,-38.14153 145.96161,10.3 km,12 mins
2028,3821,-37.919937 145.945214,Buln Buln Primary School,15 Old Sale Road,-38.09935 145.93817,26.1 km,21 mins
2032,3822,-38.194379 145.989901,Darnum Primary School,6 Graham Street,-38.18773 145.9997,1.3 km,1 min
2033,3823,-38.210382 146.065656,Yarragon Primary School,65 Loch Street,-38.20937 146.06096,0.9 km,2 mins
2036,3824,-38.245649 146.16397,Trafalgar High School,70-80 School Road,-38.21457 146.1583,5.6 km,6 mins
2047,3825,-37.978862 146.342932,Rawson Primary School,Knotts Siding Road,-37.95912 146.39897,11.7 km,15 mins
2052,3831,-37.993258 146.013136,Neerim District Secondary College,20 Neerim East Road,-38.01694 145.95668,7.3 km,8 mins
2053,3835,-38.290637 146.175271,Thorpdale Primary School,19 Robinson Street,-38.28846 146.17879,0.5 km,2 mins
2055,3840,-38.245215 146.424457,Morwell Park Primary School,76 - 82 Vary Street,-38.22793 146.42446,10.6 km,11 mins
2062,3842,-38.315452 146.414358,Lumen Christi School,35 Williams Avenue,-38.3164 146.41571,0.7 km,2 mins
2063,3844,-38.316869 146.607101,Traralgon South Primary School,13 - 19 Keith Morgan Drive,-38.29726 146.54015,10.9 km,10 mins
2074,3847,-38.166213 146.772991,Rosedale Primary School,1-23 Cricket Street,-38.1546 146.7739,1.7 km,2 mins
2081,3850,-38.224191 147.106181,Sale College,73-81 Macalister Street,-38.10892 147.06801,13.8 km,12 mins
2086,3851,-38.035548 147.084398,Longford Primary School,6380 South Gippsland Highway,-38.16956 147.08841,16.9 km,16 mins
2092,3854,-38.12413 146.596877,Glengarry Primary School,41 - 45 Cairnbrook Road,-38.12758 146.57134,2.4 km,2 mins
2093,3856,-38.063907 146.672206,Toongabbie Primary School,Victoria Street,-38.05697 146.62518,4.6 km,4 mins
2094,3857,-38.018616 146.694894,Cowwarr Primary School,1- 11 Church Street,-38.0137 146.69896,1.0 km,2 mins
2095,3858,-37.3690401 146.8291658,Heyfield Primary School,22 Temple Street,-37.98211 146.78494,111 km,2 hours 0 mins
2101,3860,-37.571707 146.805175,St Mary's School,4-12 Duke Street,-37.9635 146.97239,141 km,2 hours 46 mins
2102,3862,-37.55304411 147.130018,Stratford Primary School,14 Wellsford Street,-37.96725 147.08539,72.5 km,1 hour 11 mins
2104,3865,-37.796743 147.455946,Lindenow Primary School,140 Henry Street,-37.80088 147.45327,0.7 km,2 mins
2106,3869,-38.364689 146.359836,Yinnar South Primary School,Brewsters Road,-38.36891 146.36481,0.8 km,1 min
2107,3870,-38.437946 146.319351,Boolarra Primary School,Tarwin Street,-38.38287 146.26887,11.5 km,16 mins
2108,3871,-38.42207 146.158866,Mirboo North Primary School,Balook Street,-38.40049 146.15109,4.2 km,5 mins
2110,3873,-38.298267 146.708775,Gormandale And District Primary School,38 Main Street,-38.29418 146.70321,0.7 km,1 min
2111,3874,-38.514438 146.836248,Woodside Primary School,39-41 Prince St,-38.52633 146.87674,5.0 km,5 mins
2112,3875,-37.826032 147.63201,Bairnsdale Primary School,324 Main Street,-37.82742 147.62323,1.1 km,3 mins
2123,3878,-37.898544 147.680121,Eagle Point Primary School,43 School Road,-37.89245 147.68022,1.5 km,2 mins
2124,3880,-37.914728 147.727389,Paynesville Primary School,31 - 47 Ashley Street,-37.91128 147.7147,1.6 km,3 mins
2125,3882,-37.812017 147.764385,Nicholson Primary School,Princes Highway,-37.81578 147.74791,1.7 km,2 mins
2126,3885,-37.01610136 148.0696953,Bruthen Primary School,31 Great Alpine Road,-37.70421 147.83349,143 km,2 hours 16 mins
2129,3886,-37.770977 148.426851,Newmerella Primary School,2-4 McLaughlins Road,-37.73547 148.434,4.4 km,4 mins
2132,3888,-37.39051 148.660943,Orbost North Primary School,Rupert St,-37.69779 148.466,60.0 km,1 hour 1 min
2135,3890,-37.566489 149.217216,Cann River P-12 College,20-24 Tamboon Road,-37.5697 149.15302,6.5 km,6 mins
2136,3896,-37.264671 147.707962,Swifts Creek P-12 School,6840 Great Alpine Road,-37.26684 147.72403,1.7 km,2 mins
2137,3898,-37.066169 147.464799,Omeo Primary School,167 Day Avenue,-37.10022 147.59308,29.0 km,36 mins
2139,3903,-37.811303 147.867533,Swan Reach Primary School,21 School Road,-37.82108 147.86479,2.0 km,4 mins
2140,3904,-37.881041 147.839367,Metung Primary School,90 Stirling Road,-37.88296 147.85246,2.8 km,4 mins
2142,3909,-37.821921 147.970237,Toorloo Arm Primary School,315 Lake Tyers Beach Road,-37.85254 148.05097,10.4 km,10 mins
2147,3910,-38.156369 145.198328,Langwarrin Park Primary School,19-27 Northgateway,-38.15092 145.2025,0.9 km,2 mins
2151,3911,-38.196908 145.169556,Baxter Primary School,Grant Road,-38.19966 145.18155,1.2 km,1 min
2155,3912,-38.217991 145.227373,Pearcedale Primary School,Baxter-tooradin Road,-38.20301 145.23198,2.9 km,5 mins
2159,3913,-38.262273 145.166426,Tyabb Primary School,186 Mornington-Tyabb Road,-38.26071 145.16664,0.2 km,1 min
2163,3915,-38.305806 145.136622,Wallaroo Primary School,Stalwart Avenue,-38.29789 145.17275,5.8 km,9 mins
2166,3918,-38.339871 145.155546,Bittern Primary School,Portsmouth Road,-38.33986 145.17168,1.8 km,3 mins
2167,3919,-38.352327 145.199777,Crib Point Primary School,70 Milne Street,-38.36048 145.20054,2.0 km,5 mins
2171,3922,-38.482182 145.231974,Our Lady Star of the Sea Catholic Primary School,6 Cowes-Rhyll Road,-38.4637 145.2398,2.8 km,3 mins
2172,3923,-38.465552 145.293632,Newhaven College,1770 Phillip Island Road,-38.48834 145.27232,7.0 km,8 mins
2173,3925,-38.528213 145.379683,San Remo Primary School,22 Bergin Grove,-38.52385 145.36945,1.2 km,2 mins
2175,3926,-38.355231 145.094502,Balnarring Primary School,1 Civic Court,-38.37672 145.12282,4.9 km,7 mins
2177,3927,-38.383368 145.153269,Somers School Camp,124 Lord Somers Road,-38.38878 145.14575,2.6 km,6 mins
2181,3930,-38.195017 145.093743,Mount Eliza Secondary College,204 Canadian Bay Road,-38.1897 145.09354,0.6 km,2 mins
2185,3931,-38.230038 145.049503,Mornington Primary School,Vale Street,-38.22181 145.04309,1.7 km,5 mins
2192,3933,-38.261168 145.096992,Moorooduc Primary School,Cnr Derril Rd & Mornington Tyabb Rd,-38.24809 145.10517,2.1 km,4 mins
2195,3934,-38.2783 145.031598,Balcombe Grammar School,389 Nepean Hwy,-38.27325 145.03269,0.9 km,2 mins
2197,3936,-38.326447 145.007626,Peninsula Specialist College,25 Old White Hill Road,-38.34184 145.01011,1.8 km,2 mins
2199,3937,-38.373694 145.01994,Red Hill Consolidated School,341 Arthurs Seat Road,-38.36668 144.99527,2.7 km,4 mins
2201,3939,-38.42776 144.900413,Rosebud Primary School,Point Nepean Road,-38.35576 144.909,10.2 km,12 mins
2205,3940,-38.37363083 144.8754149,Eastbourne Primary School,Allambi Avenue,-38.37376 144.8835,1.9 km,4 mins
2206,3941,-38.396077 144.827203,Rye Primary School,Lyons St,-38.37312 144.82382,4.1 km,4 mins
2208,3943,-38.345527 144.739101,Sorrento Primary School,32 Kerferd Avenue,-38.34148 144.74069,0.6 km,2 mins
2210,3945,-38.381582 145.697053,Loch Primary School,2 Victoria Road,-38.36862 145.70295,2.1 km,3 mins
2213,3950,-38.435217 145.812945,St Joseph's School,1-3 Bridge Street,-38.43604 145.82232,0.9 km,1 min
2214,3951,-38.47372 145.798419,Kongwak Primary School,1445 Wonthaggi Korumburra Road,-38.51511 145.71286,15.2 km,14 mins
2219,3953,-38.460127 145.995174,Mary MacKillop Catholic Regional College,115 Horn Street,-38.46673 145.96354,3.4 km,3 mins
2220,3954,-38.550379 145.937973,Koonwarra Village School,20-26 Koala Drive,-38.54791 145.94392,0.8 km,2 mins
2221,3956,-38.597018 145.955341,Tarwin Lower Primary School,School Road,-38.70257 145.86706,18.3 km,16 mins
2223,3959,-38.734636 146.066529,Fish Creek and District Primary School,10 Foster Road,-38.69475 146.08442,6.6 km,7 mins
2225,3960,-39.140761 146.360412,Foster Secondary College,2-10 Pioneer Street,-38.65174 146.19741,75.5 km,1 hour 31 mins
2226,3962,-38.60357 146.359804,Toora Primary School,5 Harriet Street,-38.66352 146.32799,12.2 km,18 mins
2227,3966,-38.630568 146.436583,Welshpool and District Primary School,5960 South Gippsland Highway,-38.66552 146.43111,6.3 km,8 mins
2229,3975,-38.05354 145.231114,Lyndhurst Primary School,70 Brookwater Parade,-38.07496 145.25408,4.1 km,7 mins
2236,3976,-38.043995 145.264296,St Kevin's School,120 Hallam Road,-38.03932 145.2674,0.9 km,2 mins
2244,3977,-38.1466398 145.2695101,Rangebank Primary School,14-36 Lesdon Avenue,-38.08736 145.27622,10.2 km,13 mins
2264,3978,-38.135009 145.384606,Grayling Primary School,25 Ferdinand Drive,-38.08273 145.37283,10.4 km,16 mins
2272,3980,-38.204448 145.356937,Tooradin Primary School,Bayview Road,-38.20763 145.37849,4.7 km,5 mins
2273,3981,-38.207298 145.575,Koo Wee Rup Primary School,28-34 Moody Street,-38.19483 145.49286,10.4 km,10 mins
2278,3984,-38.312647 145.563979,Bass Valley Primary School,70 Corinella Road,-38.43123 145.48877,19.1 km,15 mins
2279,3987,-38.309048 145.689142,Nyora Primary School,Grundy Avenue,-38.33624 145.67489,5.2 km,8 mins
2280,3988,-38.313447 145.811863,Poowong Consolidated School,5 Gardner Lane,-38.34248 145.7697,8.2 km,10 mins
2281,3992,-38.569135 145.534315,Powlett River Primary School,9 - 21 Bent Street,-38.56035 145.5462,2.0 km,5 mins
2287,3995,-38.578071 145.630713,St Joseph's School,94 Korumburra Road,-38.60086 145.60341,4.2 km,4 mins
2288,3996,-38.629561 145.745609,Inverloch Primary School,Bayview Avenue,-38.6312 145.72862,1.9 km,4 mins
