Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3002,3810,3810,135387,70537,0.73,2786,92067,67362,0.18,680,-1940,-310,3810,141128,74024,3810,5615,900,0.13,488,191532,31268,0.12,460,116675,13384,0.83,3178,54792,19102,4563,532048,65536
3003,5039,5039,62345,46169,0.87,4392,61806,50578,0.12,601,-779,-1037,5039,64456,47879,5039,2095,390,0.09,462,60838,18489,0.08,407,38185,6694,0.76,3809,19761,11711,6090,82918,12564
3004,8596,8596,83531,57629,0.77,6597,77647,62323,0.16,1378,34,-1346,8596,87992,60072,8596,4244,607,0.1,826,103815,24416,0.09,735,75118,11475,0.78,6696,29895,15478,9786,288442,34556
3006,15055,15055,70688,50869,0.84,12662,68832,55730,0.14,2064,-466,-1125,15055,73216,52578,15055,2454,410,0.09,1369,64666,15604,0.08,1157,48058,6441,0.76,11507,24041,12823,17322,119117,16298
3008,10791,10791,68227,52419,0.84,9097,68253,58446,0.13,1430,-1906,-1646,10791,70712,54521,10791,2441,461,0.07,774,52156,16335,0.06,642,37215,7001,0.75,8119,22675,13910,10801,119894,16152
3011,14951,14951,58959,48982,0.86,12910,61098,53073,0.12,1844,-2068,-1714,14951,60955,50521,14951,1979,563,0.13,1921,50782,19210,0.12,1749,34609,9014,0.78,11672,16353,11094,17434,84840,29543
3012,17125,17125,60122,50580,0.86,14734,62386,54718,0.14,2407,-2760,-2060,17125,62259,52323,17125,2117,716,0.12,2136,57689,21444,0.12,1977,39151,9552,0.79,13533,16584,11364,19651,88204,38445
3013,9845,9845,79283,63526,0.86,8491,79796,67249,0.19,1863,-3428,-2524,9845,82215,66225,9845,2884,1028,0.11,1120,64114,20588,0.11,1040,38543,8768,0.84,8221,24327,16071,11461,141010,76203
3015,11497,11497,79061,64890,0.85,9719,80989,69795,0.2,2257,-3634,-2200,11497,81947,67429,11497,2832,1016,0.11,1237,63692,25689,0.1,1151,40777,10981,0.83,9553,24254,16819,13109,160283,85511
3016,10317,10317,91274,59491,0.76,7883,84139,64270,0.22,2293,-2800,-1667,10317,94940,63234,10317,3567,902,0.09,911,118139,26013,0.08,855,82071,10220,0.78,8074,33478,17094,11709,266078,110537
3018,8225,8225,68462,56537,0.79,6522,71935,63268,0.18,1512,-1048,-936,8225,71211,58790,8225,2703,822,0.09,722,70866,22944,0.08,680,51463,10088,0.79,6478,20699,14133,9539,174888,78842
3019,5020,5020,45074,39358,0.83,4187,48590,44304,0.12,619,-3212,-2821,5020,46562,40666,5020,1445,430,0.13,637,58058,22489,0.12,578,46817,11461,0.72,3607,10952,7458,5820,50395,17258
3020,25052,25052,46453,40508,0.82,20627,49665,45673,0.12,2933,-1836,-1936,25052,48068,42018,25052,1588,456,0.13,3213,57654,26164,0.12,2942,43005,12781,0.72,18066,11474,7976,28568,69311,22641
3021,27859,27859,42707,38543,0.81,22607,46328,44109,0.1,2710,-1373,-1303,27859,44166,39897,27859,1445,428,0.13,3531,52067,27863,0.12,3289,36803,12292,0.7,19516,9948,7228,32148,63435,19607
3022,2015,2015,50227,44405,0.82,1644,54188,50309,0.14,273,-1928,-742,2015,52135,46037,2015,1885,596,0.12,239,66315,29218,0.11,228,47795,14234,0.74,1492,12760,9267,2289,84309,32989
3023,35362,35362,54552,48000,0.84,29539,58317,53412,0.16,5597,-4275,-3355,35362,56628,49740,35362,2051,759,0.1,3659,64794,30854,0.1,3473,45502,14109,0.77,27234,14302,10322,38516,85525,40760
3024,15831,15831,54203,48854,0.87,13757,58736,54108,0.09,1473,-4840,-3806,15831,56413,50769,15831,2198,843,0.09,1473,43590,22061,0.09,1391,29417,11285,0.78,12395,13721,10307,17018,72285,34063
3025,6562,6562,62562,52708,0.81,5298,66120,58725,0.17,1146,-753,-1266,6562,64936,54640,6562,2359,721,0.11,744,77258,30798,0.11,702,58087,13605,0.79,5191,17609,12549,7518,105138,52937
3026,1655,1655,57504,50670,0.86,1430,58432,54280,0.14,233,-4714,-3435,1655,59340,52504,1655,1835,693,0.08,140,69565,21230,0.08,133,56093,11695,0.77,1277,16028,11194,1624,74675,38144
3027,5587,5587,59565,50627,0.83,4660,65095,57716,0.2,1135,-6470,-5286,5587,61742,52441,5587,2146,698,0.13,723,75763,25890,0.12,665,58043,11125,0.77,4327,16944,12337,5562,64206,29342
3028,17132,17132,54047,48218,0.85,14574,57827,52940,0.13,2233,-2228,-1865,17132,56063,49880,17132,1992,720,0.09,1618,43111,22914,0.09,1490,27367,10070,0.77,13254,13848,10238,19815,104621,44812
3029,64518,64518,50926,45255,0.83,53568,55780,51336,0.12,7759,-4724,-3868,64518,52867,46963,64518,1916,672,0.14,9177,53347,24117,0.13,8440,39320,11378,0.75,48653,12990,9462,67513,73061,29806
3030,66741,66741,59240,50101,0.83,55522,63468,55776,0.16,10515,-4393,-3608,66741,61586,52030,66741,2317,768,0.1,6387,72633,25157,0.09,5941,56217,11775,0.78,51874,16539,11478,71525,100767,40745
3031,12078,12078,71707,57398,0.87,10473,72119,61738,0.14,1730,-2670,-1220,12078,74327,59636,12078,2582,752,0.11,1385,59200,20549,0.11,1271,35979,9020,0.81,9832,21581,14266,14068,121286,43509
3032,19995,19995,68825,52270,0.83,16653,69388,57047,0.17,3493,-2552,-1822,19995,71571,54647,19995,2703,736,0.1,2013,74468,22250,0.09,1844,52479,10614,0.78,15592,21578,12799,22425,144954,47441
3033,8552,8552,63189,50638,0.79,6736,65372,56918,0.2,1703,-304,-545,8552,65900,53090,8552,2676,808,0.08,702,127127,31073,0.08,668,105383,12014,0.76,6520,18946,12347,9659,157459,79080
3034,6821,6821,60202,48856,0.77,5240,62336,54426,0.22,1504,522,-66,6821,62694,50653,6821,2479,666,0.09,627,77742,25846,0.09,594,57958,11628,0.76,5202,17380,11639,7564,165452,65936
3036,3889,3889,68827,51567,0.74,2876,65805,55726,0.22,855,226,-538,3889,71963,53659,3889,3030,782,0.07,289,109383,29635,0.07,274,85805,12051,0.76,2966,22191,13483,4290,253856,93821
3037,29566,29566,56293,48694,0.85,25104,58983,53275,0.16,4757,-3841,-2918,29566,58519,50517,29566,2202,841,0.09,2670,65487,28368,0.09,2516,46837,13456,0.78,23197,14772,10420,32154,93842,46249
3038,16871,16871,57584,48423,0.81,13692,60255,52960,0.21,3518,-1038,-869,16871,59993,50232,16871,2386,791,0.08,1357,79023,29917,0.08,1297,58229,14120,0.77,13053,15766,10833,18839,143484,62856
3039,10416,10416,77184,58072,0.82,8554,74434,60401,0.18,1887,-1856,-1208,10416,80265,60458,10416,3004,783,0.09,960,100363,24325,0.08,880,72364,9986,0.81,8390,24665,14711,11636,192968,67834
3040,18158,18158,82489,56848,0.79,14391,73488,58394,0.19,3374,-1988,-1124,18158,85899,59602,18158,3345,796,0.09,1560,116467,27418,0.08,1464,86196,10505,0.8,14439,28398,14695,20000,224707,73821
3041,8369,8369,74030,55278,0.78,6511,71870,59360,0.19,1596,-1340,-1326,8369,77152,57960,8369,3069,815,0.08,674,108932,29110,0.08,646,81780,13091,0.78,6560,24002,14207,9142,217966,89329
3042,9990,9990,63001,53423,0.81,8117,66384,59506,0.17,1719,-2089,-1982,9990,65723,55547,9990,2669,944,0.09,909,56166,26487,0.09,854,36637,11652,0.79,7863,17846,13016,11273,146185,73540
3043,10217,10217,61942,49196,0.81,8271,59907,55201,0.15,1486,-1640,-1616,10217,64326,51016,10217,2342,847,0.1,978,62002,26262,0.09,928,45254,12141,0.77,7857,18352,10839,11917,125087,58374
3044,17491,17491,64842,54337,0.83,14560,67256,59592,0.17,3043,-816,-843,17491,67530,56586,17491,2653,838,0.1,1813,58429,25011,0.1,1694,39011,10230,0.8,14031,18435,13119,19293,132434,59601
3046,21521,21521,53049,45538,0.82,17661,57071,51107,0.12,2640,-1790,-1728,21521,54985,47167,21521,1907,595,0.12,2654,47262,22525,0.11,2431,32471,10509,0.75,16082,14296,10035,23358,89646,33047
3047,9254,9254,40002,34308,0.78,7199,43778,40125,0.07,615,-1543,-1048,9254,41410,35481,9254,1406,377,0.18,1621,46654,26813,0.16,1497,32332,13669,0.66,6150,9379,6468,10527,46748,13517
3048,7457,7457,40741,36179,0.77,5707,44958,42785,0.08,598,-738,-90,7457,42175,37422,7457,1424,423,0.16,1174,64029,34518,0.15,1121,46387,16090,0.69,5134,9237,6641,8496,51195,16551
3049,5738,5738,56730,49146,0.83,4766,59619,53852,0.15,885,-2789,-2380,5738,59306,51206,5738,2513,930,0.09,505,64400,32052,0.08,482,43512,14553,0.79,4551,14649,10502,6503,127973,61289
3051,9309,9309,63070,46487,0.84,7803,63344,51436,0.13,1217,-1370,-771,9309,65491,48248,9309,2358,407,0.12,1119,66695,20549,0.11,1008,41666,10304,0.74,6918,20293,12049,11439,105387,19451
3052,4114,4114,67883,43447,0.82,3368,61494,47121,0.12,497,-80,1,4114,70649,44990,4114,2732,333,0.11,434,83789,18694,0.09,376,52790,8127,0.71,2906,25184,11576,4586,165806,20922
3053,8870,8870,57543,36642,0.81,7201,54130,40434,0.11,962,864,578,8870,60291,38199,8870,2692,250,0.11,981,76124,19400,0.1,859,49877,9537,0.67,5940,20788,10053,11083,118344,9968
3054,6144,6144,84504,55288,0.79,4825,73916,56324,0.15,938,2205,1552,6144,87995,57792,6144,3431,624,0.14,853,100434,26056,0.13,787,53566,10309,0.8,4912,29494,13732,7178,223697,46258
3055,9685,9685,63527,51394,0.86,8301,63818,54964,0.14,1314,-988,-748,9685,67428,53276,9685,3871,615,0.12,1128,56491,17852,0.1,1011,35279,7903,0.79,7629,18468,12041,11262,122541,41683
3056,18461,18461,64588,52831,0.87,16068,63945,55026,0.13,2412,-295,-455,18461,66876,54775,18461,2262,590,0.13,2367,55201,19953,0.12,2151,33200,8991,0.81,14933,18332,12207,21645,107974,35820
3057,9261,9261,67039,56321,0.88,8119,66668,58960,0.12,1139,196,-490,9261,69377,58310,9261,2296,651,0.13,1165,50582,19025,0.11,1064,30509,7886,0.82,7623,18977,13239,10643,100520,38866
3058,22284,22284,61596,50454,0.84,18732,63138,54676,0.15,3415,28,-649,22284,63795,52238,22284,2173,660,0.12,2679,56061,21925,0.11,2479,36537,9445,0.79,17512,17438,11804,25448,113429,47754
3059,11199,11199,62263,50657,0.8,8952,62577,55113,0.19,2179,-1638,-1702,11199,65124,52806,11199,2829,964,0.1,1113,86564,31095,0.09,1060,65183,15206,0.78,8712,18136,11666,11708,136656,53084
3060,7358,7358,47476,39298,0.78,5734,52409,46579,0.13,961,-266,-1170,7358,49308,40856,7358,1797,482,0.16,1180,51044,22508,0.15,1096,37077,10653,0.71,5199,12517,8336,7919,75533,27065
3061,2282,2282,45186,37046,0.72,1637,48176,44577,0.11,255,-1477,-629,2282,46911,38228,2282,1678,370,0.16,376,126941,33856,0.16,354,113818,16466,0.7,1597,11542,7249,2653,65991,19126
3062,104,104,101387,75029,0.79,82,60269,61642,0.11,11,1287,649,104,103448,75499,104,2061,302,0.07,7,56500,62915,0.06,6,35438,39920,0.87,90,34884,19290,103,193826,61381
3063,356,356,61621,49565,0.78,278,65113,50940,0.21,74,-3596,-1206,356,64340,51652,356,2719,831,0.08,28,50708,29656,0.08,27,54258,12334,0.78,276,18748,10957,398,216632,79082
3064,49366,49366,50087,45035,0.83,40911,54253,50768,0.11,5238,-4024,-3189,49366,51985,46718,49366,1881,703,0.14,6950,51303,27040,0.13,6513,35138,12942,0.76,37563,12345,9143,50930,64444,28004
3065,7215,7215,81627,56329,0.83,5976,75116,58734,0.14,1014,-400,-200,7215,84971,59142,7215,3302,692,0.15,1058,100149,25174,0.14,988,66452,10594,0.82,5887,27011,14377,9100,152365,33607
3066,6474,6474,73585,59206,0.86,5600,71200,62118,0.13,847,-1756,-1454,6474,76176,61512,6474,2508,692,0.14,885,60889,25941,0.13,828,36028,11360,0.83,5361,21996,14309,7716,98468,32426
3067,6554,6554,73960,60164,0.86,5643,71734,62399,0.13,884,-1840,-1216,6554,76779,62346,6554,2790,770,0.12,773,84004,19456,0.11,690,60432,9655,0.83,5471,22024,14361,7615,124166,36826
3068,13222,13222,88946,61464,0.82,10801,81381,63269,0.17,2211,-811,-49,13222,94858,64306,13222,5846,864,0.15,1937,91504,24652,0.14,1793,50283,10883,0.83,10957,29870,15640,15655,201308,58771
3070,16841,16841,78238,58636,0.84,14196,74812,60646,0.16,2741,377,-157,16841,81230,60983,16841,2925,825,0.14,2373,63779,22007,0.13,2204,36521,8830,0.82,13838,24549,14376,19526,156657,60412
3071,12232,12232,67390,54283,0.85,10395,66748,56863,0.14,1731,134,-440,12232,69738,56158,12232,2304,691,0.14,1657,55830,21265,0.13,1563,33986,8890,0.82,10000,19266,12553,14023,121418,53257
3072,21032,21032,59508,49418,0.84,17688,61053,53174,0.15,3176,-165,-574,21032,61586,51076,21032,2054,600,0.13,2642,52260,22574,0.12,2460,32628,9804,0.79,16537,16422,11041,24298,104743,43054
3073,28997,28997,52396,44954,0.82,23639,55362,50138,0.14,3917,873,-110,28997,54258,46605,28997,1839,550,0.12,3551,47950,22892,0.11,3307,31493,9841,0.75,21857,13687,9510,32711,91908,37915
3074,10649,10649,46434,40776,0.8,8490,49720,46210,0.13,1386,-49,-412,10649,48082,42079,10649,1622,500,0.14,1470,60625,26128,0.13,1344,45479,12111,0.72,7702,11422,7815,12187,70939,27247
3075,11614,11614,46739,41294,0.81,9365,50545,46951,0.14,1602,-511,-973,11614,48484,42722,11614,1735,520,0.12,1428,51597,27122,0.11,1321,35296,11819,0.73,8451,11447,8147,13128,71871,29900
3076,18413,18413,50654,45059,0.83,15232,53896,50226,0.13,2381,-2740,-2619,18413,52552,46729,18413,1891,683,0.12,2238,47904,27948,0.11,2103,30419,12037,0.77,14137,12498,8912,19999,79429,36233
3078,7904,7904,85825,56600,0.82,6466,74427,58476,0.17,1383,-1054,-109,7904,89125,58936,7904,3264,842,0.13,1010,81498,22512,0.12,955,46241,9621,0.8,6355,29860,14575,8878,197094,71952
3079,11538,11538,92354,58844,0.75,8700,81369,62144,0.2,2335,-1187,-718,11538,96359,61734,11538,3942,788,0.1,1117,131977,27775,0.09,1062,90769,11208,0.78,9006,34416,16603,12443,280883,92284
3081,7840,7840,53222,44690,0.82,6447,56369,50124,0.11,875,-2058,-1945,7840,55239,46334,7840,1982,586,0.14,1074,48545,25477,0.13,1014,31828,12315,0.74,5829,14516,9877,9161,89816,33573
3082,17941,17941,53037,46493,0.83,14937,56421,51187,0.16,2950,-1890,-1342,17941,55175,48275,17941,2123,727,0.09,1660,54922,27086,0.09,1563,36031,11678,0.77,13751,13639,9659,19963,109473,48901
3083,18718,18718,51539,41952,0.79,14867,54536,47727,0.17,3159,-1710,-1308,18718,53484,43571,18718,1924,491,0.1,1935,56174,23000,0.09,1774,38349,10546,0.71,13328,14571,9609,20975,111028,40591
3084,16762,16762,75363,54468,0.75,12630,74543,60744,0.19,3253,-621,-753,16762,78564,56894,16762,3112,750,0.1,1609,112641,27086,0.09,1497,79345,10260,0.77,12829,25524,14915,18257,236344,91536
3085,8433,8433,66115,52652,0.79,6699,69369,59404,0.17,1445,-2471,-1689,8433,68647,55056,8433,2445,720,0.08,701,62440,23449,0.08,661,40786,9200,0.77,6477,20296,13424,9364,177866,84342
3086,65,65,88401,53748,0.85,55,87735,60564,0.06,4,3053,1382,65,91724,54956,65,3319,775,0.14,9,23946,12000,0.15,10,17495,7036,0.77,50,32671,15599,74,194580,25296
3087,5430,5430,60334,51512,0.82,4447,64448,58161,0.15,808,-1056,-1272,5430,62613,53454,5430,2260,722,0.08,427,50420,26125,0.08,413,29428,9012,0.78,4239,16782,12224,6223,153199,76040
3088,17053,17053,62946,52044,0.8,13703,66340,57779,0.16,2696,-1999,-1544,17053,65394,54124,17053,2434,750,0.09,1540,100261,25459,0.08,1446,83201,9421,0.77,13163,18357,13060,19183,174429,86493
3089,7982,7982,68178,53998,0.83,6637,66771,57124,0.15,1230,-3279,-2630,7982,71040,56378,7982,2806,985,0.08,663,61056,29895,0.08,638,37743,12586,0.8,6393,20151,13402,8811,179488,85952
3090,1693,1693,85478,54537,0.75,1278,70982,53458,0.22,373,-1668,-1386,1693,89926,57716,1693,4436,705,0.08,134,143899,37649,0.08,127,113045,17300,0.78,1318,30783,14873,1786,241942,97683
3091,1120,1120,81477,52115,0.71,793,64460,47489,0.19,217,879,566,1120,84465,55174,1120,2862,412,0.1,115,102669,38735,0.1,114,77941,15652,0.77,865,28729,14723,1208,262477,93710
3093,2542,2542,91564,55514,0.73,1844,72279,58544,0.18,463,-173,-663,2542,95504,58331,2542,3446,702,0.09,229,85785,28050,0.08,211,53858,12540,0.77,1954,35112,15273,2801,307909,100707
3094,5634,5634,64929,53764,0.79,4457,68143,59541,0.14,803,-1769,-1180,5634,67501,55691,5634,2565,757,0.1,538,53127,27166,0.09,509,31557,9585,0.78,4421,18968,13479,6489,183922,94439
3095,18585,18585,72749,53366,0.78,14491,71820,57405,0.17,3138,-2726,-1656,18585,75836,55918,18585,3047,809,0.1,1923,76041,29117,0.1,1842,48831,10599,0.77,14346,23748,14222,20761,233496,104313
3096,1241,1241,62443,50321,0.79,986,61664,54342,0.13,167,-2476,-1564,1241,65051,51881,1241,2580,817,0.1,123,87568,20540,0.09,116,72775,9782,0.77,952,18339,12213,1399,185812,82194
3097,976,976,82939,49001,0.67,653,72376,52863,0.19,183,633,470,976,86096,51712,976,3126,602,0.13,129,96084,29202,0.13,123,77357,13032,0.75,729,31621,14059,1081,298706,101689
3099,3114,3114,61990,48838,0.78,2419,62230,52741,0.14,437,-715,-992,3114,64702,51080,3114,2637,747,0.13,399,65263,29186,0.12,376,47004,14452,0.76,2353,18591,11927,3560,190232,83987
3101,17112,17112,108372,59111,0.7,11944,86597,57562,0.21,3552,-2247,-386,17112,113559,62351,17112,4986,698,0.11,1918,234303,37936,0.1,1785,154994,15202,0.77,13205,44435,17577,18235,372916,80023
3102,4452,4452,85462,55051,0.72,3202,80461,56954,0.22,995,453,-45,4452,90739,57468,4452,5245,687,0.11,472,137970,33091,0.1,440,92836,12128,0.75,3354,31913,16175,4739,262214,92562
3103,10741,10741,86785,47806,0.63,6748,76768,52116,0.24,2575,-1295,-21,10741,90660,50359,10741,3687,456,0.09,1010,200925,32364,0.09,935,155427,13498,0.71,7607,36022,15212,10790,341801,76166
3104,13555,13555,79169,48853,0.67,9020,74688,54252,0.26,3577,-1140,-801,13555,82949,51218,13555,3621,505,0.09,1269,237366,35479,0.09,1190,195120,15186,0.72,9749,30563,14796,13797,272150,79864
3105,6909,6909,63203,45957,0.7,4865,65723,53110,0.24,1637,1237,-81,6909,65835,48129,6909,2565,470,0.09,647,78234,29250,0.09,607,49158,11558,0.72,4950,20923,12413,7326,186214,67681
3106,10941,10941,77942,45855,0.66,7243,69578,52187,0.25,2723,-940,-682,10941,81024,47875,10941,2972,447,0.09,1008,175655,31706,0.09,932,150619,12756,0.71,7745,30688,13539,11407,279460,77262
3107,8232,8232,61993,46162,0.7,5749,66472,53899,0.23,1854,-125,-561,8232,64540,47780,8232,2513,468,0.1,783,80043,28675,0.09,749,53513,12155,0.72,5913,20086,12347,8988,192875,75184
3108,14822,14822,56237,39448,0.68,10028,59915,48868,0.21,3139,158,-232,14822,58541,41161,14822,2209,353,0.1,1490,85609,26372,0.09,1365,65198,10525,0.67,9999,18909,10500,15412,165596,42044
3109,18341,18341,55884,40825,0.69,12717,62653,50977,0.23,4172,-1334,-1004,18341,58121,42595,18341,2179,368,0.1,1775,77445,25702,0.09,1653,55851,10360,0.68,12496,18316,11075,19020,160871,53245
3111,7881,7881,75045,47493,0.7,5515,69823,52564,0.21,1623,-2097,-1253,7881,78263,49928,7881,3154,509,0.09,718,81806,27461,0.09,680,51641,11045,0.73,5714,27866,13174,8408,266992,79592
3113,5507,5507,82401,52478,0.73,4034,71739,55115,0.18,1000,-2261,-1391,5507,85930,55262,5507,3440,690,0.12,645,86148,28022,0.11,610,58482,11564,0.76,4177,30114,15008,6160,253221,104425
3114,2542,2542,87486,53332,0.72,1836,76829,51210,0.19,480,-2410,-1157,2542,91136,57220,2542,3620,553,0.08,215,150251,28701,0.08,204,121259,11234,0.76,1920,33148,15660,2757,327880,114094
3115,2735,2735,92259,51914,0.73,2005,70094,50281,0.17,460,-3332,-1297,2735,95822,54486,2735,3506,568,0.09,246,80632,29930,0.09,237,59345,11928,0.77,2096,35646,14146,2948,267506,102175
3116,7092,7092,59653,48859,0.8,5652,60524,52980,0.14,958,-1503,-2441,7092,62404,51038,7092,2519,656,0.09,625,60402,30803,0.08,584,38615,13187,0.77,5426,17024,11380,7732,164499,68205
3121,22749,22749,83564,65449,0.86,19520,80342,67857,0.15,3490,-1277,-1478,22749,86896,68071,22749,3268,870,0.1,2217,77738,24600,0.09,2048,46931,9704,0.85,19318,25985,16059,26746,153210,47144
3122,16761,16761,108868,59800,0.77,12935,82339,59835,0.15,2559,-1673,-610,16761,114342,62509,16761,5378,692,0.11,1823,147724,26445,0.1,1711,78197,10649,0.79,13304,43392,16262,18563,305134,54273
3123,10148,10148,96895,60836,0.77,7769,82326,60581,0.17,1768,-2178,-830,10148,101305,63535,10148,4344,744,0.1,1031,136957,22688,0.09,958,92078,9324,0.79,7984,36664,17043,11033,284721,60374
3124,15429,15429,96765,55722,0.69,10643,86333,58946,0.21,3287,-2698,-997,15429,102529,59209,15429,5643,711,0.1,1476,212303,28266,0.09,1371,160739,11777,0.75,11552,38973,17243,16318,346866,96753
3125,8959,8959,54675,36099,0.74,6660,57028,41948,0.17,1528,-2274,-1376,8959,56804,37345,8959,2070,300,0.1,891,66736,19091,0.09,767,50078,7657,0.64,5763,19362,10458,9633,131473,28638
3126,5528,5528,120322,60648,0.64,3511,95165,58703,0.22,1237,-4572,-1958,5528,126637,64276,5528,6213,638,0.1,543,259693,42552,0.09,516,183401,17828,0.75,4162,52820,20660,5706,503768,128873
3127,12857,12857,92352,55912,0.72,9259,84929,60738,0.19,2504,-3321,-1876,12857,96201,58991,12857,3742,708,0.1,1231,147272,28399,0.09,1146,110248,10286,0.75,9704,36093,16778,13771,290252,102217
3128,13043,13043,52286,36809,0.75,9730,57245,44494,0.17,2156,-2351,-1502,13043,54305,38163,13043,1953,300,0.1,1258,57245,20717,0.08,1100,37570,7646,0.66,8646,17226,9635,14084,122277,23693
3129,10797,10797,62675,44972,0.75,8094,65418,52115,0.19,2090,-3089,-1955,10797,65184,46907,10797,2467,481,0.11,1157,70021,24546,0.1,1039,47196,10295,0.71,7632,21209,12308,11766,161786,57333
3130,20498,20498,65341,47504,0.76,15478,67608,54844,0.18,3773,-2426,-2071,20498,67823,49518,20498,2428,555,0.09,1935,90320,23580,0.09,1779,68319,9146,0.73,14877,21825,12958,22196,189134,72768
3131,13839,13839,57635,45932,0.77,10677,62361,53152,0.18,2450,-2659,-2240,13839,59724,47792,13839,2070,507,0.1,1356,47839,22380,0.09,1248,28977,9334,0.73,10066,17370,11377,15014,139825,58738
3132,10787,10787,61415,49345,0.79,8548,66162,56357,0.17,1845,-3137,-2059,10787,63662,51033,10787,2217,590,0.09,1022,51833,21644,0.09,946,32913,9214,0.75,8135,18494,12274,11751,156879,68099
3133,14111,14111,58233,43565,0.72,10103,64208,53058,0.22,3130,-2596,-2120,14111,60548,45452,14111,2266,467,0.09,1310,80800,25218,0.08,1185,59997,9886,0.7,9829,18797,11820,15314,195403,74978
3134,21251,21251,63199,49225,0.8,16973,63801,53640,0.15,3186,-2952,-2288,21251,65695,51281,21251,2462,600,0.09,1904,66246,25835,0.09,1826,43629,10298,0.76,16134,19279,11845,23408,163942,66944
3135,12265,12265,60713,49758,0.8,9865,64081,55649,0.15,1810,-3164,-2353,12265,63032,51817,12265,2290,665,0.09,1136,59020,23478,0.09,1067,39283,9276,0.76,9316,17774,12014,13857,160165,72297
3136,27656,27656,58409,48781,0.81,22365,61290,53705,0.13,3593,-3075,-1989,27656,60677,50712,27656,2244,629,0.09,2521,63539,25707,0.09,2359,43425,11088,0.77,21223,16278,10965,30790,144140,66958
3137,8457,8457,55941,48447,0.82,6926,57540,52140,0.11,940,-2503,-1714,8457,58120,50329,8457,2169,655,0.08,677,70305,30827,0.08,647,45488,12412,0.78,6600,14636,10315,9612,127298,64217
3138,13658,13658,56795,49160,0.83,11311,59565,53062,0.11,1546,-2990,-2322,13658,59060,51055,13658,2234,686,0.09,1205,62648,27500,0.08,1146,39720,12754,0.78,10683,15023,10684,15421,123636,61314
3139,8856,8856,55464,47088,0.79,6995,54791,50000,0.12,1033,-339,-800,8856,57889,49114,8856,2372,612,0.11,1016,74126,37332,0.11,1003,51269,16713,0.78,6937,14437,9920,10021,132359,59045
3140,10422,10422,57970,48028,0.8,8386,58416,51348,0.13,1320,-1561,-1364,10422,60342,50037,10422,2329,622,0.09,898,73665,26738,0.08,869,50533,12411,0.77,8030,16013,10683,11586,137870,65583
3141,19027,19027,104310,63833,0.8,15261,82166,65269,0.14,2742,-851,-1115,19027,110526,66577,19027,5985,750,0.11,2028,108593,27711,0.1,1881,63061,11833,0.83,15778,38461,16216,22130,263048,36872
3142,10054,10054,201926,71574,0.6,6050,99252,60000,0.18,1820,1731,1094,10054,213429,76169,10054,11142,891,0.1,1052,562449,39476,0.1,986,484151,18510,0.81,8107,95268,21214,10714,849698,88948
3143,6947,6947,114390,65653,0.73,5053,89280,65311,0.15,1049,-1776,-479,6947,119969,68846,6947,4945,880,0.11,778,173274,24866,0.1,714,114429,10276,0.81,5616,44994,18219,7569,363014,67529
3144,7988,7988,134231,69258,0.66,5308,98471,60770,0.18,1443,812,274,7988,141570,73050,7988,7143,887,0.1,825,236239,34050,0.1,767,160909,14376,0.8,6395,56885,20571,8452,486368,107045
3145,15082,15082,96424,54575,0.74,11204,81707,55268,0.19,2824,-1523,-822,15082,100517,57378,15082,3934,664,0.1,1555,136041,25313,0.09,1430,83534,11458,0.75,11310,39061,16433,16535,273826,74011
3146,17263,17263,98826,61166,0.75,12878,88881,62658,0.19,3261,-2639,-1245,17263,103288,64666,17263,4398,806,0.09,1623,142428,32199,0.09,1512,91076,12708,0.78,13535,37759,17607,18566,292858,94971
3147,9264,9264,79236,51886,0.76,7002,77223,57620,0.2,1899,-2600,-1717,9264,82500,54346,9264,3195,640,0.1,915,93574,24957,0.09,847,62901,11050,0.74,6854,29201,15211,10168,201660,76871
3148,5983,5983,56976,46067,0.8,4800,61744,53140,0.2,1178,-1361,-1394,5983,59302,48127,5983,2287,523,0.12,726,64524,21604,0.11,654,50030,9830,0.74,4445,16665,11011,6659,100581,35195
3149,22406,22406,63100,44298,0.71,15924,66200,53424,0.23,5244,-2333,-1660,22406,65573,46354,22406,2420,463,0.09,2120,83783,24648,0.09,1930,56794,9967,0.71,15829,21492,12350,23481,186625,59077
3150,38917,38917,59075,40318,0.68,26315,63201,51446,0.26,9973,-2771,-1642,38917,61442,42212,38917,2287,361,0.09,3614,109506,24701,0.08,3301,89680,10323,0.67,26178,20716,11576,40836,195873,54682
3151,6263,6263,52133,38913,0.73,4576,57126,48762,0.21,1310,-2585,-1906,6263,54168,40519,6263,2004,396,0.11,673,200795,24089,0.1,611,194885,8546,0.67,4186,16474,9888,6911,140618,43976
