Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3040,5903.0,5929.0,5951.0,5979.0,6005.0,6089.0,6153.0,6280.0,6350.0,6458.0,6472.0,6594.0,6742.0,6896.0,7069.0,7250.0,7362.0,7498.0,7586.0,7635.0,7520.0
3041,8838.0,8818.0,8803.0,8826.0,8907.0,8987.0,9036.0,9169.0,9378.0,9419.0,9397.0,9424.0,9499.0,9578.0,9729.0,9968.0,10152.0,10261.0,10302.0,10264.0,10108.0
3042,22241.0,22156.0,22053.0,21963.0,21875.0,21904.0,21909.0,22063.0,22184.0,22311.0,22340.0,22557.0,22856.0,23223.0,23649.0,24146.0,24385.0,24665.0,24910.0,24750.0,24353.0
3043,34936.0,34671.0,34340.0,33976.0,33746.0,33668.0,33545.0,33454.0,33352.0,33152.0,32950.0,33041.0,33194.0,33439.0,33695.0,34044.0,34251.0,34391.0,34369.0,34157.0,33404.0
3044,15245.0,15241.0,15199.0,15260.0,15343.0,15499.0,15752.0,15935.0,16378.0,16594.0,16712.0,16923.0,17209.0,17596.0,18040.0,18577.0,19072.0,19407.0,19546.0,19582.0,18974.0
3045,149.0,148.0,144.0,142.0,137.0,133.0,138.0,141.0,144.0,149.0,158.0,165.0,173.0,179.0,187.0,194.0,181.0,168.0,155.0,142.0,129.0
3047,47103.0,46800.0,46368.0,45831.0,45600.0,45534.0,45573.0,45822.0,46226.0,46529.0,46749.0,47075.0,47489.0,48054.0,48677.0,49391.0,49934.0,50293.0,50486.0,50177.0,48504.0
3048,42004.0,42056.0,42201.0,42431.0,42766.0,43116.0,43650.0,44337.0,45049.0,45589.0,46045.0,46231.0,46579.0,47269.0,48397.0,50024.0,51262.0,52507.0,53290.0,53932.0,53724.0
3049,34780.0,34457.0,34093.0,33576.0,33378.0,33315.0,33520.0,33629.0,33672.0,33653.0,33538.0,33568.0,33646.0,33761.0,33890.0,34132.0,34328.0,34437.0,34453.0,34398.0,33256.0
3050,5332.0,5327.0,5253.0,5201.0,5157.0,5270.0,5649.0,6000.0,6331.0,6482.0,6551.0,6872.0,7174.0,7447.0,7682.0,7898.0,8182.0,8243.0,8294.0,8321.0,7446.0
3052,17747.0,17731.0,17702.0,17728.0,17766.0,18016.0,18595.0,19232.0,19911.0,20223.0,20415.0,20835.0,21231.0,21639.0,22026.0,22421.0,22731.0,22928.0,23134.0,23312.0,21945.0
3053,9529.0,10022.0,10611.0,11224.0,11924.0,12737.0,13509.0,14133.0,14687.0,14926.0,15122.0,15605.0,16719.0,17843.0,18983.0,20242.0,20669.0,20869.0,21088.0,20943.0,17198.0
3054,15696.0,15754.0,15786.0,15998.0,16183.0,16389.0,16750.0,17060.0,17347.0,17590.0,17752.0,18008.0,18705.0,19332.0,20026.0,20774.0,21172.0,21402.0,21576.0,21936.0,21258.0
3055,12415.0,12404.0,12449.0,12527.0,12609.0,12746.0,12946.0,13232.0,13580.0,13741.0,13864.0,13963.0,14057.0,14192.0,14344.0,14523.0,14549.0,14685.0,14840.0,14991.0,14499.0
3057,7263.0,7304.0,7329.0,7514.0,7658.0,7803.0,8058.0,8313.0,8586.0,8789.0,8966.0,9208.0,9870.0,10439.0,11062.0,11716.0,12149.0,12382.0,12588.0,13045.0,12963.0
3058,15245.0,15241.0,15199.0,15260.0,15343.0,15499.0,15752.0,15935.0,16378.0,16594.0,16712.0,16923.0,17209.0,17596.0,18040.0,18577.0,19072.0,19407.0,19546.0,19582.0,18974.0
3059,9950.0,10178.0,10573.0,11173.0,11636.0,12028.0,12248.0,12535.0,12902.0,13243.0,13543.0,13732.0,13991.0,14584.0,15629.0,17123.0,18256.0,19464.0,20298.0,21238.0,22391.0
3060,28422.0,28336.0,28204.0,28129.0,28084.0,28171.0,28478.0,28896.0,29425.0,29693.0,29906.0,30076.0,30363.0,30797.0,31198.0,31582.0,31832.0,31964.0,32042.0,31638.0,30448.0
3061,16125.0,16117.0,16040.0,15948.0,15917.0,15921.0,15997.0,16222.0,16455.0,16587.0,16735.0,16760.0,16836.0,16921.0,17013.0,17122.0,17164.0,17176.0,17135.0,16870.0,16255.0
3063,20232.0,20686.0,21514.0,22665.0,23600.0,24238.0,24790.0,25312.0,25863.0,26293.0,26615.0,26809.0,27079.0,27713.0,28799.0,30361.0,31588.0,32907.0,33920.0,35075.0,36177.0
3064,5781.0,5931.0,6208.0,6440.0,6700.0,6778.0,6869.0,7004.0,7156.0,7381.0,7580.0,7762.0,7920.0,8049.0,8221.0,8436.0,8779.0,9108.0,9417.0,9777.0,10747.0
3065,8315.0,8503.0,8641.0,8772.0,8961.0,9241.0,9596.0,9857.0,10050.0,10238.0,10214.0,10507.0,10705.0,10880.0,11056.0,11259.0,11325.0,11364.0,11363.0,11284.0,10609.0
3066,5221.0,5419.0,5537.0,5602.0,5653.0,5761.0,5939.0,6185.0,6454.0,6684.0,6867.0,7209.0,7427.0,8022.0,8582.0,9235.0,9439.0,9597.0,9817.0,9953.0,9348.0
3067,4150.0,4339.0,4444.0,4452.0,4498.0,4537.0,4638.0,4727.0,4833.0,5029.0,5213.0,5544.0,6539.0,7411.0,8078.0,8770.0,9288.0,9522.0,9586.0,9662.0,9262.0
3068,18393.0,18466.0,18531.0,18789.0,19144.0,19409.0,19783.0,20250.0,20690.0,20952.0,21109.0,21520.0,22316.0,23097.0,23963.0,24845.0,25398.0,25712.0,26109.0,26693.0,25918.0
3070,24941.0,25008.0,25035.0,25094.0,25225.0,25473.0,25811.0,26150.0,26441.0,26683.0,26819.0,27190.0,27600.0,27929.0,28388.0,29012.0,29181.0,29108.0,29167.0,29290.0,28224.0
3071,17056.0,17084.0,17084.0,17118.0,17193.0,17368.0,17622.0,17880.0,18064.0,18177.0,18258.0,18484.0,18773.0,18985.0,19254.0,19578.0,19711.0,19699.0,19708.0,19763.0,19152.0
3074,22546.0,22382.0,22228.0,21869.0,21570.0,21422.0,21328.0,21398.0,21512.0,21526.0,21430.0,21420.0,21430.0,21432.0,21442.0,21485.0,21482.0,21445.0,21351.0,21152.0,20211.0
3075,22546.0,22382.0,22228.0,21869.0,21570.0,21422.0,21328.0,21398.0,21512.0,21526.0,21430.0,21420.0,21430.0,21432.0,21442.0,21485.0,21482.0,21445.0,21351.0,21152.0,20211.0
3076,18680.0,18853.0,18895.0,18938.0,19053.0,19275.0,19303.0,19360.0,19398.0,19219.0,19046.0,18841.0,18656.0,18710.0,18653.0,18712.0,18633.0,18586.0,18461.0,18255.0,17647.0
3078,7885.0,7924.0,7951.0,7976.0,8032.0,8105.0,8189.0,8270.0,8377.0,8506.0,8561.0,8706.0,8827.0,8944.0,9134.0,9434.0,9470.0,9409.0,9459.0,9527.0,9072.0
3079,18149.0,18117.0,18195.0,18164.0,18292.0,18597.0,18870.0,19243.0,19515.0,19619.0,19649.0,19712.0,19761.0,19813.0,19939.0,20117.0,20438.0,20764.0,20991.0,20842.0,20362.0
3081,13300.0,13246.0,13234.0,13170.0,13224.0,13271.0,13385.0,13480.0,13694.0,13798.0,13984.0,14121.0,14267.0,14457.0,14634.0,14806.0,15047.0,15190.0,15527.0,15518.0,15038.0
3082,32360.0,32450.0,32393.0,32358.0,32437.0,32683.0,32658.0,32636.0,32603.0,32179.0,31856.0,31564.0,31281.0,31250.0,31163.0,31238.0,31045.0,30828.0,30498.0,30138.0,28989.0
3083,33684.0,34697.0,35760.0,36185.0,37159.0,38148.0,39331.0,40308.0,41346.0,41836.0,42174.0,42944.0,43754.0,44500.0,45276.0,46214.0,46384.0,46432.0,45991.0,45476.0,43460.0
3084,38731.0,38703.0,38648.0,38534.0,38803.0,39233.0,39812.0,40154.0,40819.0,41004.0,41031.0,41337.0,41692.0,42008.0,42276.0,42669.0,43123.0,43477.0,43844.0,43764.0,42894.0
3085,37159.0,37494.0,37873.0,38225.0,39042.0,39910.0,41212.0,42044.0,43239.0,43621.0,43811.0,44386.0,44973.0,45445.0,45918.0,46515.0,47095.0,47415.0,47495.0,47310.0,45657.0
3086,6084.0,6468.0,6929.0,7375.0,7986.0,8561.0,9323.0,9858.0,10419.0,10649.0,10821.0,11106.0,11349.0,11516.0,11730.0,11965.0,12093.0,12068.0,11789.0,11521.0,10564.0
3087,27738.0,27531.0,27376.0,27147.0,27211.0,27322.0,27675.0,27905.0,28195.0,28182.0,28095.0,28115.0,28191.0,28294.0,28402.0,28560.0,28656.0,28748.0,28719.0,28623.0,28194.0
3088,72610.0,72287.0,72065.0,71669.0,71994.0,72429.0,73100.0,73724.0,74534.0,74703.0,74648.0,74817.0,75065.0,75399.0,75840.0,76494.0,76751.0,76949.0,76974.0,76600.0,75371.0
3089,12601.0,12623.0,12517.0,12624.0,12787.0,12946.0,13267.0,13551.0,13783.0,13902.0,13931.0,13987.0,14058.0,14150.0,14221.0,14351.0,14417.0,14496.0,14484.0,14560.0,14539.0
3090,7787.0,7888.0,8033.0,8220.0,8476.0,8722.0,8828.0,9047.0,9266.0,9344.0,9401.0,9512.0,9580.0,9666.0,9706.0,9794.0,9834.0,9850.0,9860.0,9751.0,9522.0
3091,11505.0,11586.0,11682.0,11865.0,12132.0,12387.0,12490.0,12744.0,12941.0,13012.0,13061.0,13157.0,13209.0,13277.0,13309.0,13399.0,13457.0,13472.0,13478.0,13376.0,13095.0
3093,15726.0,15742.0,15700.0,15615.0,15651.0,15668.0,15769.0,15863.0,16110.0,16182.0,16165.0,16182.0,16222.0,16299.0,16508.0,16792.0,16858.0,16907.0,16940.0,16880.0,16658.0
3094,15726.0,15742.0,15700.0,15615.0,15651.0,15668.0,15769.0,15863.0,16110.0,16182.0,16165.0,16182.0,16222.0,16299.0,16508.0,16792.0,16858.0,16907.0,16940.0,16880.0,16658.0
3095,68320.0,68012.0,67725.0,67279.0,67204.0,67193.0,67333.0,67487.0,67805.0,67827.0,67649.0,67739.0,67932.0,68145.0,68535.0,69155.0,69348.0,69473.0,69517.0,69296.0,68351.0
3096,12601.0,12623.0,12517.0,12624.0,12787.0,12946.0,13267.0,13551.0,13783.0,13902.0,13931.0,13987.0,14058.0,14150.0,14221.0,14351.0,14417.0,14496.0,14484.0,14560.0,14539.0
3097,12059.0,12065.0,12064.0,12069.0,12132.0,12217.0,12203.0,12209.0,12196.0,12133.0,12073.0,12120.0,12169.0,12221.0,12296.0,12416.0,12451.0,12418.0,12311.0,12218.0,12109.0
3099,8821.0,8846.0,8833.0,8861.0,8942.0,9039.0,9027.0,9054.0,9004.0,8942.0,8887.0,8887.0,8898.0,8911.0,8945.0,9014.0,9048.0,9025.0,8936.0,8856.0,8697.0
3101,10265.0,10476.0,10585.0,10608.0,10699.0,10776.0,10943.0,11134.0,11317.0,11548.0,11765.0,12125.0,13166.0,14090.0,14820.0,15625.0,16130.0,16304.0,16364.0,16438.0,15819.0
3102,6115.0,6137.0,6141.0,6156.0,6201.0,6239.0,6305.0,6407.0,6484.0,6519.0,6552.0,6581.0,6627.0,6679.0,6742.0,6855.0,6842.0,6782.0,6778.0,6776.0,6557.0
3103,35275.0,35436.0,35561.0,35713.0,35983.0,36291.0,36520.0,36741.0,36940.0,37087.0,37164.0,37324.0,37537.0,37722.0,37905.0,38119.0,38523.0,38837.0,39060.0,38919.0,37743.0
3104,35738.0,35863.0,35942.0,36087.0,36327.0,36636.0,36979.0,37356.0,37726.0,37866.0,37886.0,38244.0,38698.0,39185.0,39537.0,39906.0,40166.0,40418.0,40665.0,40791.0,39715.0
3105,11057.0,11070.0,11046.0,10990.0,10920.0,10867.0,11013.0,11136.0,11290.0,11350.0,11376.0,11397.0,11434.0,11468.0,11504.0,11565.0,11580.0,11622.0,11615.0,11642.0,11371.0
3106,30816.0,30823.0,30737.0,30657.0,30638.0,30713.0,30857.0,31001.0,31157.0,31187.0,31136.0,31225.0,31341.0,31475.0,31705.0,31987.0,32103.0,32075.0,32083.0,32086.0,31383.0
3107,60238.0,60399.0,60323.0,60209.0,60120.0,60179.0,60587.0,60971.0,61462.0,61668.0,61855.0,62281.0,62872.0,63448.0,64285.0,65437.0,66380.0,66915.0,67845.0,68811.0,67926.0
