Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,March,1 North West Metro, Banyule,"7,191","5,604.2"
2022,March,1 North West Metro, Brimbank,"16,839","8,468.6"
2022,March,1 North West Metro, Darebin,"12,424","7,703.4"
2022,March,1 North West Metro, Hobsons Bay,"5,884","6,147.4"
2022,March,1 North West Metro, Hume,"17,870","7,208.5"
2022,March,1 North West Metro, Maribyrnong,"8,703","9,275.3"
2022,March,1 North West Metro, Melbourne,"34,479","20,082.4"
2022,March,1 North West Metro, Melton,"12,103","6,417.1"
2022,March,1 North West Metro, Moonee Valley,"7,860","6,119.8"
2022,March,1 North West Metro, Moreland,"11,526","6,272.8"
2022,March,1 North West Metro, Nillumbik,"2,156","3,373.4"
2022,March,1 North West Metro, Whittlesea,"12,510","5,206.8"
2022,March,1 North West Metro, Wyndham,"15,940","5,336.5"
2022,March,1 North West Metro, Yarra,"11,378","11,306.0"
2022,March,1 North West Metro,Total,"176,863","7,683.5"
2022,March,2 Eastern, Alpine,548,"4,176.2"
2022,March,2 Eastern, Bass Coast,"3,013","7,522.8"
2022,March,2 Eastern, Baw Baw,"4,265","7,313.0"
2022,March,2 Eastern, Benalla,"1,391","9,815.1"
2022,March,2 Eastern, Boroondara,"7,210","4,125.8"
2022,March,2 Eastern, East Gippsland,"4,955","10,120.5"
2022,March,2 Eastern, Greater Shepparton,"8,734","13,017.7"
2022,March,2 Eastern, Indigo,675,"3,945.6"
2022,March,2 Eastern, Knox,"9,519","5,932.3"
2022,March,2 Eastern, Latrobe,"11,011","14,412.8"
2022,March,2 Eastern, Manningham,"3,827","3,054.5"
2022,March,2 Eastern, Mansfield,448,"4,533.7"
2022,March,2 Eastern, Maroondah,"7,285","6,246.0"
2022,March,2 Eastern, Mitchell,"3,490","6,816.5"
2022,March,2 Eastern, Moira,"2,147","7,122.6"
2022,March,2 Eastern, Monash,"11,161","5,678.6"
2022,March,2 Eastern, Murrindindi,815,"5,441.8"
2022,March,2 Eastern, South Gippsland,"1,651","5,387.4"
2022,March,2 Eastern, Strathbogie,710,"6,278.3"
2022,March,2 Eastern, Towong,183,"2,997.3"
2022,March,2 Eastern, Wangaratta,"2,369","8,006.2"
2022,March,2 Eastern, Wellington,"4,282","9,431.4"
2022,March,2 Eastern, Whitehorse,"7,248","4,142.8"
