geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,routeussp,ticketzone,postcode,suburb_name,ward_name,easting,northing,gisfid,fme_feature_type,googlemaps_drive_to
"-38.0262229622, 145.2510871134","{""coordinates"": [145.2510871134, -38.0262229622], ""type"": ""Point""}",MGA zone 55,23397,Marshall Ct/Pound Rd (Hampton Park),-38.02622296223280,145.25108711336000,"894,892",2,3976,HAMPTON PARK,RIVER GUM,346499,5789832,983,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.02622296223275,145.25108711336046/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0399570005, 145.2535059928","{""coordinates"": [145.2535059928, -38.0399570005], ""type"": ""Point""}",MGA zone 55,23398,Central Rd/McDowall Rd (Hampton Park),-38.039957000455900,145.2535059928430,891,2,3976,HAMPTON PARK,RIVER GUM,346739,5788312,984,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.039957000455864,145.2535059928431/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0417429854, 145.2529739152","{""coordinates"": [145.2529739152, -38.0417429854], ""type"": ""Point""}",MGA zone 55,23400,South Gippsland Hwy/McDowall Rd (Hampton Park),-38.04174298541860,145.25297391519800,891,2,3976,HAMPTON PARK,RIVER GUM,346696,5788112,986,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.04174298541864,145.25297391519834/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1570689545, 145.2911641047","{""coordinates"": [145.2911641047, -38.1570689545], ""type"": ""Point""}",MGA zone 55,23422,Craig Rd/Finsbury Rd (Devon Meadows),-38.15706895448390,145.2911641046920,795,2,3977,DEVON MEADOWS,BALLA BALLA,350284,5775378,992,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.15706895448394,145.2911641046917/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0292370558, 145.2683671501","{""coordinates"": [145.2683671501, -38.0292370558], ""type"": ""Point""}",MGA zone 55,23496,Pound Rd/Hallam Rd (Hampton Park),-38.02923705584870,145.2683671500820,"891,892,893,863",2,3976,HAMPTON PARK,RIVER GUM,348022,5789525,1000,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.02923705584873,145.2683671500822/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0682749849, 145.3510148099","{""coordinates"": [145.3510148099, -38.0682749849], ""type"": ""Point""}",MGA zone 55,22790,April Cl/Bridgewater Bvd (Berwick),-38.06827498493960,145.35101480991500,836,2,3806,BERWICK,EDRINGTON,355353,5785326,1008,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.06827498493955,145.35101480991503/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0544020001, 145.3571617679","{""coordinates"": [145.3571617679, -38.0544020001], ""type"": ""Point""}",MGA zone 55,22794,Chirnside Rd/Soldiers Rd (Berwick),-38.05440200006220,145.35716176789700,836,2,3806,BERWICK,EDRINGTON,355865,5786875,1009,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.05440200006216,145.35716176789663/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0529999795, 145.3612838184","{""coordinates"": [145.3612838184, -38.0529999795], ""type"": ""Point""}",MGA zone 55,22796,Kevin Cl/Soldiers Rd (Berwick),-38.05299997954200,145.36128381840700,836,2,3807,BEACONSFIELD,EDRINGTON,356223,5787036,1011,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.05299997954196,145.36128381840695/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0335249959, 145.3458809522","{""coordinates"": [145.3458809522, -38.0335249959], ""type"": ""Point""}",MGA zone 55,22799,Langmore Lane/Gloucester Ave (Berwick),-38.033524995888900,145.34588095215200,"835,836,837,839,828",2,3806,BERWICK,EDRINGTON,354834,5789174,1014,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.033524995888946,145.34588095215162/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0451159829, 145.3466001673","{""coordinates"": [145.3466001673, -38.0451159829], ""type"": ""Point""}",MGA zone 55,22800,Casey Hospital/Kangan Dr (Berwick),-38.04511598292680,145.34660016734800,831,2,3806,BERWICK,EDRINGTON,354920,5787888,1015,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.04511598292676,145.34660016734793/@your+location,17z/data=!4m2!4m1!3e0"
"-38.1028670048, 145.264953913","{""coordinates"": [145.264953913, -38.1028670048], ""type"": ""Point""}",MGA zone 55,22889,Sandhurst Centre/Duff St (Cranbourne West),-38.10286700481460,145.2649539130090,792,2,3977,CRANBOURNE WEST,MAYFIELD,347875,5781349,1021,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.10286700481463,145.2649539130093/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0518610367, 145.2951629812","{""coordinates"": [145.2951629812, -38.0518610367], ""type"": ""Point""}",MGA zone 55,23498,River Gum Creek Reserve/Seebeck Dr (Narre Warren South),-38.05186103673160,145.2951629812150,894,2,3805,NARRE WARREN SOUTH,SPRINGFIELD,350419,5787058,1024,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.05186103673156,145.2951629812149/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9797409731, 145.2959798683","{""coordinates"": [145.2959798683, -37.9797409731], ""type"": ""Point""}",MGA zone 55,22596,Reservoir Rd/Heatherton Rd (Narre Warren North),-37.97974097313360,145.29597986832200,842,2,3804,NARRE WARREN NORTH,FOUR OAKS,350345,5795063,1056,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.97974097313361,145.29597986832152/@your+location,17z/data=!4m2!4m1!3e0"
