SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE,,,,,
101021007,Braidwood,13310,Goulburn Mulwaree (A),0.0736642,7.366417,,,,,
101021007,Braidwood,16490,Queanbeyan-Palerang Regional (A),0.9263358,92.633583,,,,,
101021008,Karabar,16490,Queanbeyan-Palerang Regional (A),1,100,,,,,
101021009,Queanbeyan,16490,Queanbeyan-Palerang Regional (A),1,100,,,,,
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang Regional (A),1,100,,,,,
101021011,Queanbeyan Region,13310,Goulburn Mulwaree (A),0.0211877,2.1187673,,,,,
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang Regional (A),0.9253106,92.5310591,,,,,
101021011,Queanbeyan Region,17040,Snowy Monaro Regional (A),0.0535017,5.3501736,,,,,
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang Regional (A),1,100,,,,,
101031013,Bombala,17040,Snowy Monaro Regional (A),0.9999988,99.9998759,,,,,
101031014,Cooma,17040,Snowy Monaro Regional (A),1,100,,,,,
101031015,Cooma Region,17040,Snowy Monaro Regional (A),0.9999978,99.9997797,,,,,
101031016,Jindabyne - Berridale,17040,Snowy Monaro Regional (A),1,100,,,,,
101041017,Batemans Bay,12750,Eurobodalla (A),1,100,,,,,
101041018,Batemans Bay - South,12750,Eurobodalla (A),1,100,,,,,
101041019,Bega - Tathra,10550,Bega Valley (A),1,100,,,,,
101041020,Bega-Eden Hinterland,10550,Bega Valley (A),0.9976043,99.7604326,,,,,
101041020,Bega-Eden Hinterland,12750,Eurobodalla (A),0.0023953,0.2395332,,,,,
101041021,Broulee - Tomakin,12750,Eurobodalla (A),1,100,,,,,
101041022,Deua - Wadbilliga,10550,Bega Valley (A),0.4821607,48.2160696,,,,,
101041022,Deua - Wadbilliga,12750,Eurobodalla (A),0.5178215,51.7821464,,,,,
101041023,Eden,10550,Bega Valley (A),1,100,,,,,
101041024,Eurobodalla Hinterland,12750,Eurobodalla (A),0.9414648,94.1464838,,,,,
101041024,Eurobodalla Hinterland,16950,Shoalhaven (C),0.0585352,5.8535162,,,,,
101041025,Merimbula - Tura Beach,10550,Bega Valley (A),1,100,,,,,
101041026,Moruya - Tuross Head,12750,Eurobodalla (A),1,100,,,,,
101041027,Narooma - Bermagui,10550,Bega Valley (A),0.2478034,24.7803382,,,,,
101041027,Narooma - Bermagui,12750,Eurobodalla (A),0.7521966,75.2196618,,,,,
101051539,Goulburn,13310,Goulburn Mulwaree (A),1,100,,,,,
101051540,Goulburn Region,13310,Goulburn Mulwaree (A),0.4690115,46.9011477,,,,,
101051540,Goulburn Region,16490,Queanbeyan-Palerang Regional (A),0.0113618,1.1361753,,,,,
101051540,Goulburn Region,17640,Upper Lachlan Shire (A),0.5180772,51.8077155,,,,,
101051540,Goulburn Region,18350,Wingecarribee (A),0.0003445,0.0344541,,,,,
101051540,Goulburn Region,18710,Yass Valley (A),0.0012051,0.1205075,,,,,
101061541,Yass,18710,Yass Valley (A),1,100,,,,,
101061542,Yass Region,13910,Hilltops (A),0.0521537,5.2153688,,,,,
101061542,Yass Region,17640,Upper Lachlan Shire (A),0.1131087,11.3108663,,,,,
101061542,Yass Region,18710,Yass Valley (A),0.8347376,83.4737553,,,,,
101061543,Young,13910,Hilltops (A),1,100,,,,,
101061544,Young Region,13910,Hilltops (A),1,100,,,,,
102011028,Avoca Beach - Copacabana,11650,Central Coast (C) (NSW),1,100,,,,,
102011029,Box Head - MacMasters Beach,11650,Central Coast (C) (NSW),1,100,,,,,
102011030,Calga - Kulnura,11650,Central Coast (C) (NSW),1,100,,,,,
102011031,Erina - Green Point,11650,Central Coast (C) (NSW),1,100,,,,,
102011032,Gosford - Springfield,11650,Central Coast (C) (NSW),1,100,,,,,
102011033,Kariong,11650,Central Coast (C) (NSW),1,100,,,,,
102011034,Kincumber - Picketts Valley,11650,Central Coast (C) (NSW),1,100,,,,,
102011035,Narara,11650,Central Coast (C) (NSW),1,100,,,,,
102011036,Niagara Park - Lisarow,11650,Central Coast (C) (NSW),1,100,,,,,
102011037,Point Clare - Koolewong,11650,Central Coast (C) (NSW),1,100,,,,,
102011038,Saratoga - Davistown,11650,Central Coast (C) (NSW),1,100,,,,,
102011039,Terrigal - North Avoca,11650,Central Coast (C) (NSW),1,100,,,,,
102011040,Umina - Booker Bay - Patonga,11650,Central Coast (C) (NSW),1,100,,,,,
102011041,Wamberal - Forresters Beach,11650,Central Coast (C) (NSW),1,100,,,,,
